word,meaning
distinguish,"구별하다, 구별 짓다, 식별하다"
cookie,"쿠키, 똑똑한/거친 녀석"
blessing,"축복, 승인, 다행스러운 것"
analyst,분석가
full-time,풀타임의
sensation,"느낌, 감각, 느낌[기분]"
suppress,"진압하다, 금하다, 참다[억누르다]"
embarrass,당황스럽게[어색하게/쑥스럽게] 만들다
racism,"인종 차별, 민족 우월 의식"
chase,"뒤쫓다, 좇다[추구하다]"
recruit,"모집하다[뽑다], 설득하다"
isolate,"격리하다, 분리[구분]하다"
honey,"꿀, 여보[자기/얘], 다정다감한 사람"
collective,"집단의, 공동의"
toss,"던지다, 발딱[홱] 쳐들다[젖히다]"
evaluate,평가하다[감정하다]
ally,"동맹국, 협력자, 연합국가들"
rose,"장미, 장밋빛, 살수구"
syndrome,"증후군, 일련의 증상[태도]"
kingdom,"왕국, 왕국[세계], …계"
competence,"능숙함, 권한, 기능"
reckon,"생각하다, 여겨지다, 예상하다"
complicate,복잡하게 만들다
delicate,"연약한, 허약한, 섬세한"
motion,"운동, 동작[몸짓], 발의"
flexibility,"구부리기[휘기] 쉬움, 다루기 쉬움"
democratic,"민주주의의, 평등주의에 입각한[민주적인]"
tightly,"단단히, 꽉, 빽빽히"
strengthen,"강화되다, 강력해지다"
conventional,"관습[관례]적인, 전통적인"
deadly,생명을 앗아가는[앗아갈]
highway,"고속도로, 공공 도로"
infect,"감염시키다, 오염시키다"
embarrassment,"어색함, 곤란한[난처한] 상황"
sting,"쏘다, 따끔거리다[따갑다"
lens,"렌즈, 수정체"
hip,"허리께[골반 부위], 들장미[찔레] 열매"
alongside,"…옆에, …와 함께"
index,"색인, 지수, 지표"
crystal,"결정체, 크리스털[수정]"
necessity,"필요, 필수품, 불가피한 일"
rational,"합리적인, 이성[합리]적인"
legacy,유산
openly,"터놓고, 드러내 놓고"
dependent,"의존[의지]하는, 의존적인[중독된]"
offering,"제공된[내놓은] 것, 공물[제물]"
safely,"무사히, 안전하게, 별로 틀리지 않을"
isolation,"고립, 외로운[고립된] 상태"
pond,연못
guilt,"죄책감, 유죄, 책임"
destruction,"파괴, 파멸, 말살"
occupy,"차지하다, 사용하다[거주하다]"
strain,"부담, 압력, 염좌[좌상]"
wipe,"닦다[훔치다], 지우다"
colony,"식민지, 식민지 이민단, 집단[거주지]"
elite,엘리트
vacuum,"진공, 공백, 진공청소기를 이용한 청소"
assistance,"도움, 원조, 지원"
opposing,서로 겨루는[대립하는/싸우는]
exaggerate,과장하다
atom,원자
cough,"기침하다, 토하다, 털털[쿨럭]거리다"
saint,성자[성인군자] 같은 사람
enjoyable,즐거운
polish,"광택제, 닦기, 윤, 세련"
hopeful,"희망에 찬, 희망[기대]를 드러내는"
make-up,"화장품, 기질, 구성"
genius,"천재성, 특별한 재능"
cute,"귀여운, 매력적인[멋진]"
officially,"공식적으로[정식으로], 공식[외부]적으로 알려지기로"
exhibit,"전시하다, 보이다[드러내다]"
cling,"꼭 붙잡다, 달라[들러]붙다"
mentally,"정신적으로, 마음속으로"
protective,"보호하는, 보호하려고 하는[드는]"
dare,"…할 용기가 있다, 해 보라고 하다[부추기다]"
unprecedented,"전례 없는, 미증유의"
terrorist,"테러리스트, 테러범"
tag,"꼬리표[태그], 태그"
superior,우수한[우세한/우월한]
determination,"투지, 결정, 확인"
arms,무기
July,7월
subtle,"미묘한, 교묘한, 절묘한"
poison,독
January,"1월, 정월"
jewellery,"보석류, 장신구"
bishop,"주교, 비숍"
negotiation,"협상, 교섭, 절충"
earnings,"소득, 수익[이익]"
pursuit,"추구, 뒤쫓음, 일[활동]"
curiosity,"호기심, 진기한 것"
aggression,"공격성, 공격, 침략"
exclude,"제외[배제]하다, 거부[차단]하다"
hurricane,허리케인
puzzle,"퍼즐, 수수께끼[미스터리]"
civilization,"문명, 문명 , 전 세계"
blend,"섞다, 섞이다, 조합하다[조합되다]"
preach,"설교하다, 전하다"
dose,"복용량[투여량], 양"
satisfy,"만족시키다, 충족시키다[채우다]"
cliff,절벽
meantime,"그동안, 중간 시간"
restrict,"제한[한정]하다, 방해하다"
missile,"미사일, 던지는[쏘아 보내는] 무기"
irony,"아이러니, 비꼼"
thrive,"번창하다, 잘 자라다"
convenience,"편의, 편리한 것"
privilege,"특전, 특권, 영광"
observer,"보는 사람, 참관인[옵서버]"
Tuesday,화요일
waiter,"종업원, 시중꾼"
entertain,"접대하다, 즐겁게 해 주다"
outdoors,전원[야외]
interfere,간섭[개입/참견]하다
pronounce,"발음하다, 표명[선언/선고]하다"
tablet,"정제, 명판, 비누 한 개"
sixty,"60대, 60년 대"
educated,…한[…에서] 교육을 받은
spider,거미
pupil,"학생, 문하생[제자], 눈동자"
convention,"관습, 대회[협의회], 조약[협약]"
innovation,"혁신, 획기적인 것"
grief,"비탄[비통], 큰 슬픔"
globe,"지구본, 세계, 구체"
cease,"중단되다, 그치다, 중단시키다"
seventh,"일곱 번째의, 7분의 1의."
wheat,밀
absence,"부재, 출석조사, 없음"
submit,"제출하다, 항복[굴복]하다"
cartoon,"만화, 만화, 만화 영화"
spectacular,"장관을 이루는, 극적인"
ultimate,"궁극[최종]적인, 최고[최상/최악/최대]의"
fame,명성
suspicious,"의혹을 갖는, 의심스러운"
chamber,"회의실, -원, -실"
swear,"욕설, 저주, 욕"
cheek,"볼, 볼기짝, 무례"
auction,경매
dissolve,"녹다, 녹이다, 끝내다"
petrol,휘발유
indoors,"실내에서, 실내로"
decoration,"장식품, 장식 , 도배[실내장식]"
bulk,"대부분, 규모[양], 육중한 것"
ashamed,"부끄러운[창피한, 부끄러운[꺼려지는]"
multiply,"곱셈, 곱셈기"
Thursday,목요일
sticky,"끈적거리는, 스티커식의"
fridge,냉장고
similarity,"유사성, 유사점"
harmony,"조화, 화음, 배합[조화]"
remark,"발언[말/논평/언급], 주목"
opt,택하다
rival,"경쟁자, 경쟁 상대"
suffering,"고통, 괴로움"
setting,"환경[장소], 배경["
log,"통나무, 일지[기록]"
flour,"가루, 밀가루"
casual,"태평스러운 , 대충하는, 격식을 차리지 않는"
performer,연기자[연주자]
forth,"…에서 멀리, …쪽으로"
surgery,"수술, 진료 , 진료소"
charm,"매력, 부적[장식물], 주문"
basketball,"농구, 농구공"
beast,"짐승, 야수, 짐승[야수]"
cooperate,"협력[합동]하다, 협조하다"
circuit,"순환, 회로, 연맹전"
aside,"한쪽으로, 따로, … 외에는"
trauma,"정신적 외상, 충격적인 경험"
pioneer,개척자[선구자]
cloth,"옷감, 천"
spy,"스파이, 정보원, 첩자"
treasure,"보물, 보물 같은 것, 보물 같은[아주 귀한] 사람"
deploy,"배치하다, 효율적으로 사용하다"
chunk,"덩어리, 상당히 많은 양"
faint,"희미한[약한], 아주 적은"
input,"조언[시간/지식 등], 입력"
buyer,"구매자, 바이어"
grey,"회색[잿빛]의, 머리가 센"
Friday,금요일
smoking,"담배 피우기, 흡연"
noisy,"시끄러운[떠들썩한], 시끌벅적한[떠들썩한]"
grateful,고마워하는
reliability,"신뢰할 수 있음, 믿음직함"
lid,뚜껑a dustbin lid 휴지통 뚜껑2.
desperate,"자포자기한, , 간절히 필요로 하는[원하는]"
soar,급증[급등]하다[치솟다]
frozen,"냉동된, 추워서 꽁꽁 얼 것 같은"
blast,"폭발, 강한 바람[공기]"
fragment,"조각, 파편"
rescue,구하다
congress,"회의, 의회[국회]"
absolute,"완전한, 완전, 확실한"
statue,조각상
suicide,"자살, 자살 행위, 자살자"
powder,"가루, 파우더[분, 화약"
involvement,"관련, 몰두, 연애[관계]"
instant,"순간, 순간, 즉석 복권"
accurately,"정확히, 정밀하게"
epidemic,"유행병, 급속한 확산[유행]"
invade,"침입[침략]하다, 난입하다"
transportation,"수송, 귀양"
annoying,짜증스러운
humorous,"재미있는, 유머러스한"
Monday,월요일
afterwards,"나중에, 그 뒤에"
theatre,"공연장, 연극, 연극 분야"
cheerful,"발랄한, 생기를 주는"
revise,"변경[수정]하다, 개정[수정/조정]하다"
sincere,"진실된, 진심의"
alcoholic,"술의, 음주에 의한"
tyre,"타이어, 두로"
exception,"예외, 이례[예외]"
legally,법률적[합법적]으로
spare,"남는, 여분의, 여가의"
administrator,"관리자, 행정인"
shallow,"얕은, 얄팍한, 얕은"
weakness,"약함, 약점, 약함[사족을 못 씀]"
restore,"회복시키다, 되찾게[회복하게] 하다"
cruise,유람선 여행
substantial,"상당한, 크고 튼튼한"
lecture,"강의, 잔소리[설교]"
deputy,바로 다음 가는 직급인) 부-[-보/대행[대리]
assure,"장담하다, 확인하다, 보장하다"
precisely,"바로, 정확하게, 바로 그거예요[그렇고말고요]"
lend,"빌려주다, , 주다[부여하다]"
overnight,"밤사이에, 하룻밤 사이에"
mud,"진흙, 진창"
eleven,"11, 열하나"
reform,"개혁[개선]하다, 개심을 하다"
ironically,"비꼬아, 아이러니하게도"
harvest,"수확[추수], 수확물[량]"
decorate,"장식하다, 실내장식을 하다[도배를 하다]"
contributor,"기고자, 기부[기여]자, 원인 제공자"
hockey,하키
electronics,"전자 공학, 전자 기술, 전자 장치"
wherever,"어디에나, 어디에나, …한 모든 경우에"
cinema,"영화관, 영화 예술[산업]"
frog,개구리
Sunday,"일요일, 일요일판 신문"
favour,"지지, 편을 듦, 경품들"
outline,"개요를 서술하다, 윤곽을 보여주다[나타내다]"
poisonous,"유독한, 독이 있는, 지독히 불쾌한[불친절한]"
august,8월
queue,"줄, 큐"
February,2월
businessman,"회사원, 거래[장사]에 밝은 사람"
tragedy,"비극, 비극"
capability,"능력, 능력[힘]"
ski,스키
appointment,"약속, 임명, 직위"
explosion,"폭발, 폭발적인 증가"
rapid,"빠른, 빠른"
import,"수입품, 중요성, 의미"
participate,참가[참여]하다
stiff,"뻣뻣한, 뻑뻑한"
assessment,"평가, 평가"
valley,"계곡, 골짜기"
rubber,"고무, 지우개, 삼세판 승부"
trail,"자국[흔적], 자취, 오솔길"
notion,"개념, 관념, 생각"
painter,"도장공, 화가, 굵은 밧줄"
expected,예상되는
governor,"총독, 주지사, 운영 위원[이사]"
slope,"경사지, 비탈"
midnight,"자정, 밤 열두시, 한밤중"
discount,할인
virtually,"사실상, 가상으로"
expedition,"탐험, 탐험[원정]대"
regarding,… 에 관하여[대하여]
ankle,발목
championship,선수권 대회
clinic,"병원[병동], 진료, 치료소"
recovery,"회복, 되찾음, 회복실"
mayor,"시장[구청장], 시장[군수]"
enterprise,"기업, 대규모 사업, 산업"
viewer,"시청자, 보는[살피는] 사람"
carpet,"카펫, 양탄자, 융단"
incorporate,포함하다
darkness,"어둠, 검음, 악"
gang,"갱, 패거리, 친구들 무리"
portrait,"초상화, 묘사"
proceed,"진행하다[되다], 계속해서[이어서] …을 하다"
mutual,"상호간의, 공동[공통]의"
pride,"자랑스러움, 자부심, 긍지"
politically,정치적으로
considerable,"상당한, 많은"
prior,"사전의, 우선하는, …전[앞]의[에]"
surrounding,"인근의, 주위의"
partnership,"동업자[파트너]임, 동반자 관계"
fate,"운명, 운명[숙명]"
mere,"겨우 …의, 단지 …만의"
slight,"약간의, 작고 여윈, 가벼운"
mount,"시작하다, 증가하다, 올라가다"
angle,"각도, 기울기, 각도[위치]"
blank,"빈, 멍한, 순전한"
contest,"대회, 다툼[경쟁]"
examination,"시험, 조사, 검사"
photographer,"사진작가, 사진사"
detailed,상세한
summary,"요약, 개요"
beg,"간청[애원]하다, 구걸하다"
export,"수출하다, 전하다[수출하다]"
snake,뱀
injure,"부상을 입다[입히다], 해치다[손상시키다]"
troop,"병력, 부대, 단[분대]"
opposed,"반대하는, 아주 다른"
depressed,"우울한[암울한], 우울증을 앓는"
regime,"정권, 제도"
stir,"젓다, 약간 움직이다[흔들리다]"
carrot,"당근, 보상[미끼]"
neat,"정돈된, 깔끔한, 아기자기한[오목조목한]"
bride,"신부, 연결하는 실, 보닛"
participation,"참가, 참여"
investigator,"조사관, 조사자"
independence,"독립, 자립"
interpretation,"해석, 해석[연주/연기]"
confront,"닥치다, 맞서다, 정면으로 부딪치다[마주치다]"
provision,"공급, 대비, 식량, 조항[규정/단서]"
burden,"부담, 짐"
cabinet,"내각, 캐비닛"
dispute,"분쟁, 분규; 논란, 논쟁"
strategic,전략상 중요한[전략적인]
latter,"후자의, 후반의[끝 무렵의]"
withdraw,"물러나다, 중단[취소/철회]하다"
deck,"갑판, 층, 덱"
offense,공격진
extensive,"아주 넓은[많은], 광범위한[폭넓은]"
stability,"안정, 안정성[감]"
chapter,"장, 시기[장], 사제단"
shade,"그늘, 갓, 색조, 음영"
furthermore,"뿐만 아니라, 더욱이"
tunnel,"터널, 굴"
architecture,"건축학[술], 건축 양식"
departure,"떠남, 출발, 벗어남[일탈]"
cancel,"취소하다, 무효화하다[취소하다]"
servant,"하인, 고용인, 하인"
invitation,"초대[초청], 초대[초청]장"
mixed,"뒤섞인, 혼합된, 여러 종류를 섞은"
upstairs,위층[2층]으로
fur,"털, 모피, 인조 모피"
policeman,남자 경찰관
disc,"동글납작한 판, 디스크"
delight,"기쁨[즐거움], 큰 기쁨[즐거움]을 주는 것"
settlement,"합의, 해결, 계승적 재산권 처분"
implication,"영향[결과], 함축, 연루"
senator,상원 의원
license,"승낙, 관허, 인가증, 방종"
reservation,"예약, 의구심[거리낌]"
flame,"불길, 불타는 듯한 빨간색"
hesitate,"망설이다[주저하다], 거리끼다[주저하다]"
steep,"가파른. 비탈진, 급격한"
cottage,작은 집
republican,"공화주의자, 공화당원, 아일랜드 공화국군"
voter,"투표자, 유권자"
well-known,"유명한, 친한"
percent,"퍼센트, 백분율"
mushroom,버섯
behold,보다
particle,"입자[조각], 미립자"
felt,"펠트, 모전"
nowadays,요즘에는
astronomer,천문학자
password,"암호, 비밀번호"
fake,"가짜의, 모조[인조]의"
blanket,"담요, 짙게 드리운[두텁게 내려앉은] ~의 장막"
compassion,"연민, 동정심"
authentic,"진본[진품]인, 진짜인, 진짜와 꼭 같게 만든"
greenhouse,온실
whale,고래
hierarchy,"계급[계층], 지배층[고위층]"
whilst,…하는 동안
going,"떠나기, 속도, 경주로 상태"
rat,"쥐, 쥐새끼 같은[비열한] 놈"
identical,"동일한, 바로 그"
grave,"무덤, 죽음, 억음[저] 악센트"
radiation,"방사선, 복사, 방사선 치료"
comic,"웃기는, 코미디의"
outbreak,발생[발발]
judgment,"1-a. 판단, 1-b. 판단력"
ant,개미
philosopher,"철학자, 철학자[사색가] 같은 사람"
mining,"채굴, 채광, 광"
ethics,"윤리학, 도덕 원리"
clay,"점토, 찰흙"
portray,"그리다[묘사하다], 나타내다[보여주다]"
deadline,"기한, 마감 시간[일자]"
having,"소유, 예의범절"
linger,"남다[계속되다], 더 오래 머물다"
wolf,"늑대, 이리"
spill,"흐르다, 쏟아져 나오다"
legend,"전설, 범례[기호 설명표]"
fighter,"전투기, 전사, 포기[굴복]하지 않는 사람"
honesty,"정직, 솔직함"
alert,"기민한, 경계하는"
killer,…을 죽이는[없애는] 사람[동물/것]
efficiency,"효율, 효율화 , 효율"
integrate,"통합시키다[되다], 통합되다[시키다]"
distress,"고통, 고충, 조난"
fox,"여우, 여우 모피, 못마땅함] 여우 같은[교활한] 사람"
aspire,열망[염원]하다
humble,"겸손한, 변변치 않은, 미천한[보잘것없는]"
pie,파이
pillow,베개
prejudice,편견
creator,"창조[창안/창작]자, 창조주"
tuck,"밀어넣다[접다], 집어[끼워] 넣다"
carve,"조각하다, 새기다[파다]"
pump,"퍼 올리다[퍼내다], 흔들다[움직이다]"
coverage,"보도[방송], 범위, 보급"
fossil,"화석,늙은이"
beneficial,"유익한, 이로운"
dive,"뛰어들다, 잠수하다, 물 속으로 더 깊이 들어가다"
span,"기간[시간], 폭[범위]"
modest,그다지 대단하지는 않은
developing,개발 도상의
progressive,"진보[혁신]적인, 점진적인"
equation,"방정식, 동일시, 상황[문제]"
stumble,"발이 걸리다, 비틀[휘청]거리다"
invoke,"들먹이다[적용하다], 들다[언급하다]"
dairy,"낙농장, 유제품 회사, 구멍가게"
enrich,"질을 높이다, 부유하게 만들다"
habitat,서식지
cage,"우리, 새장"
spouse,배우자
fluid,"유체, 유동체"
ray,"광선, 한 줄기[약간의] ~"
tempt,"유혹하다[부추기다], 유도[설득]하다"
trillion,"1조, 엄청난 양"
unfortunate,"운이 없는[나쁜], 유감스러운"
lyric,"서정시,가사"
breach,"위반, ~을 저버림, 관계 단절"
apology,"사과, 양해를 구하는 말"
luxury,"호화로움, 사치, 드문 호사"
defensive,"방어[수비]의, 방어적인"
sustain,살아가게[존재하게/지탱하게] 하다
briefly,"잠시, 간단히"
scandal,"스캔들, 추문, 수치"
midst,"중앙, 한가운데"
cave,동굴
curious,"궁금한, 별난"
spice,"양념, 흥취"
salty,"소금이 든, 재미있는"
deaf,"귀가 먹은, 청각 장애인"
forecast,"예측,예보"
tide,"조수, 밀물과 썰물, 조류"
leisure,여가
shortage,부족
shrink,"줄어들다[오그라지다], 줄어들다[줄어들게 하다]"
pat,쓰다듬다[토닥거리다]
journalism,저널리즘
exceed,넘다[초과하다/초월하다]
dense,"빽빽한, 짙은[자욱한]"
likelihood,공산[가능성]
confusion,"혼란, 혼동, 당혹"
cutting,"남의 가슴을 찌르는, 매서운"
advert,"언급하다, 주의를 돌리다"
packet,"통[갑/곽], 소포, 많은 돈"
artwork,"도판, 미술품"
enjoyment,"즐거움, 흥밋거리, 누림"
mature,"어른스러운, 성인이 된"
secretly,"비밀히, 내밀히, 몰래"
goodness,"선량함, 이로운 부분[영양분]"
offspring,"자식, 새끼"
noticeable,"뚜렷한, 현저한, 분명한"
conquer,"정복하다, 이기다[물리치다]"
brake,"브레이크, 제동"
patron,"후원자, 홍보 대사, 고객"
coming,"시작, 도래"
illusion,"오해[착각], 환상"
forbid,"금, …을 어렵게[못 하게] 하다"
exhaust,"기진맥진하게 만들다, 다 써 버리다"
sofa,소파
sixth,"여섯 번째의, 6분의 1의."
gross,"총, , 역겨운, 아주 무례한"
swallow,"삼키다[, 마른침을 삼키다"
accuracy,"정확, 정확도"
dock,"부두, 독, 화물 적재 플랫폼"
palm,"손바닥, 야자과 나무"
manual,"손으로 하는, 수동의, 손을 쓰는 것과 관련된"
satisfying,"만족스러운, 만족감을 주는"
comfortably,"편안[편리]하게, 수월하게"
purely,"순전히, 전적으로, 오직"
parallel,"평행한, 아주 유사한[병행하는]"
gradual,"점진적인, 완만한"
miserable,"비참한, 비참[우울]하게 만드는"
nicely,"멋지게, 친절[다정/정중]하게"
optimism,"낙관론, 낙관[낙천]주의"
manufacture,"제조[생산]하다, 지어내다"
strangely,이상하게
dull,"따분한, 흐릿한, 둔탁한"
unimportant,"중요하지 않은, 하찮은"
specially,"특별히, 특히"
welfare,"안녕[행복], 복지"
storage,"저장, , 창고[위탁] 보관"
faculty,"능력[기능], 학부, 교수단"
impulse,"충동, 충격[자극], 자극"
exclusive,"독점적인, 배타적인, 고가의[고급의]"
cord,"끈, 코르덴바지"
straw,"짚, 짚, 빨대"
curriculum,"교육과정, 커리큘럼"
fragile,부서지기[손상되기] 쉬운
tolerate,"용인하다, 참다, 견디다"
ease,"쉬움, 편안함"
acid,산
odds,"공산[가능성], 역경, 배당률"
weekly,"매주의, 주 1회의, 주간의"
clerk,"사무원[직원], 서기"
seize,와락[꽉] 붙잡다[움켜잡다]
economically,"경제의 측면에서, 경제적으로"
vanish,"사라지다, 없어지다"
sake,"동기, 이유, 이익"
compelling,주목하지 않을 수 없는[눈을 뗄 수 없는]
formula,"공식, 화학식, 공식[방식]"
fibre,"섬유소[질],섬유,섬유질"
amuse,즐겁게[미소 짓게/재미있게] 하다
shocking,"충격적인, 형편없는"
thankfully,"고맙게도, 기꺼이"
kilogram,킬로그램
creep,"살금살금 움직이다, 기다"
part-time,파트타임인[시간제의]
plug,"플러그, 플러그 끼우는 곳"
robust,"원기 왕성한, 튼튼한[강력한]"
lottery,"복권, 복권 추첨과 같은 것"
irritate,"짜증나게 하다, 자극하다"
underneath,"…의 밑[아래/안]에, 속으로[내심]"
shave,"면도하다, 깎다[낮추다]"
migration,"이주[이동], 이송[이행"
firstly,첫째로[맨 먼저]
alliance,"동맹, 동맹 단체"
lightning,"번개, 번갯불"
entitle,"자격[권리]을 주다, 제목을 붙이다"
symbolic,"상징적인, 상징하는"
dimension,"크기, 규모[범위], 차원"
dumb,"바보, 멍청이"
whoever,"누구든 …하는 사람, 누가 …하든"
frown,얼굴[눈살]을 찌푸리다[찡그리다]
crush,"으스러[쭈그러]뜨리다, 밀어[쑤셔] 넣다"
walking,"걷기, 경보"
insert,끼우다[넣다/삽입하다]
helmet,"투구., 헬멧 모자., 투구 모양의 물건"
endure,"견디다, 오래가다[지속되다]"
overwhelm,"휩싸다, 제압하다"
replacement,"교체, 교체[대체]물, 대신할 사람"
marker,"표시[표지], 매직펜, 채점자"
assign,"맡기다, 선임하다, 파견하다"
transmission,"전염, 전송, 방송, 변속기"
provoke,유발하다
shed,"보관하는 곳, 작업장[창고]"
foster,"조성하다,발전시키다"
soak,담그다[담기다]
punch,"주먹으로 치다[때리다], 구멍을 뚫다["
texture,"감촉[질감], 질감, 조화[어우러짐]"
sensor,"센서, 감지기"
innovative,획기적인
extract,"발췌, 추출물"
beak,부리
calmly,"고요히, 침착하게, 태연하게"
orchestra,"오케스트라, 관현악단"
suspicion,"혐의[의혹], 느낌, 의심"
jealous,"질투하는, 시기[시샘]하는"
reasonably,"상당히, 합리적으로, 타당[적정]하게"
nursery,주간 탁아 시설[놀이방]
infectious,"전염되는[전염성의], 병을 옮길 수 있는"
wrongly,"부당하게, 잘못되게, 그릇되게"
winning,"이긴, 마음을 끄는"
sour,"신, 시큼한, 상한"
continually,"계속해서, 되풀이해서"
making,"만들기, 제작, 생산"
disrupt,"방해하다, 지장을 주다"
brightly,"밝게, 환히, 선명하게"
surge,"밀려들다, 휩싸다[휘감다]"
abandoned,"버려진, 방종한"
reign,"통치 기간, 책임 맡는[담당하는] 기간"
sew,"바느질하다, 깁다"
unreasonable,"불합리한, 부당한, 지나친"
disapprove,탐탁찮아[못마땅해] 하다
unkind,"불쾌한, 박정한, 약간 잔인한"
terror,"두려움[무서움], 공포의 대상"
promotion,"승진, 승격, 홍보[판촉]"
compel,"강요[강제]하다, 자아내다[불러오다]"
clause,"절, 조항"
stimulus,"자극제, 자극"
elevator,"대형 곡물 창고, 승강타"
thereby,그렇게 함으로써
jazz,재즈
prevention,"예방, 방지"
rally,"집회[대회], 랠리, 회복"
composition,"구성 요소들, 작품, 작곡"
precious,"귀중한, 귀한[소중한]"
resemble,"닮다, 비슷[유사]하다"
seal,"봉[봉인]하다, 밀봉[밀폐]하다"
sufficient,충분한
sacrifice,"희생, 제물을 바침"
distinctive,독특한
theater,"극장, 활동 무대, 계단 강당"
undergo,겪다[받다]
availability,"유효성, 당선 가능성, 이용할 수 있는 사람[것]"
spark,"불꽃, 스파크, 아주 조금[희미한 흔적]"
summit,"정상, 정상 회담"
civilian,민간인
spine,"척추, 가시, 등"
tactic,"전략[작전], 전술"
grocery,식료품 잡화점
prince,"왕자, 군주[대공], 귀족"
frightening,무서운
ending,"결말, 종료, 어미"
satisfied,"만족하는, 받아들이는[믿는]"
eighty,"80, 80대"
inherent,내재하는
colonial,"식민, 식민지 시대의"
railway,"철로, 철도"
unconscious,"의식을 잃은, 의식이 없는"
backwards,"뒤로, 거꾸로, 퇴보하는 방향으로"
presumably,"아마, 짐작건대"
sailor,"선원, 보트[요트]를 모는[조종하는] 사람"
upwards,위쪽으로
influential,"영향력 있는, 영향력이 큰"
occupation,"직업, 심심풀이, 점령"
rail,"난간, 가로장[걸이], 레일"
heal,"치유되다, 치료하다, 메우다[메워지다]"
architect,"건축가, 설계자[건설자]"
outfit,"옷[복장], 팀[그룹/집단 등]"
experimental,"실험적인, 실험의"
spray,"물보라, 스프레이, 분무기"
logic,"논리, 타당성, 논리학"
closet,벽장
desperately,"절망적으로, 몹시"
sensitivity,"세심함, 감성, 예민함[민감함]"
eliminate,"없애다, 탈락시키다, 제거하다[죽이다]"
bay,"만, 구역[구간], 베이"
strictly,"엄격히, 절대적으로, 엄밀히"
mentor,멘토
toll,울리다
leap,"뛰다, …하다, 급증[급등]하다"
harassment,"괴롭힘, 고민"
database,데이터베이스
honor,"존경, 영광, 도의심, 명예"
eligible,…을 가질[할] 수 있는
liberal,"자유민주적인, 진보적인, 자유당의"
announcement,발표
inevitably,필연적이다시피
unity,"통합, 통일성, 일치"
enact,"제정하다, 상연[연기]하다"
rebuild,다시 세우다[재건하다]
bounce,"튀다, 산란하다, 튀기다"
scholar,"학자, 장학생, 모범생"
fare,"요금, 승객, 식사[음식]"
transaction,"거래, 매매, 처리"
expertise,전문 지식[기술]
terribly,"너무, 몹시"
recipient,"받는 사람, 수령[수취]인"
seventy,"70대, 70년대"
farming,"영농,농업,농사"
castle,"성, 룩"
heating,난방
ninety,"아흔, 90대"
spicy,"양념 맛이 강한, 흥미로운"
congressional,의회의
diagram,"도표, 도해"
advertisement,"광고, 광고"
aged,"…세[살]의, 고령의, 노인들"
secondly,두 번째로[둘째는]
unemployed,"실직한, 실업자인"
dentist,치과 의사
criterion,기준
