word,meaning
ownership,소유
supervisor,"감독관, 관리자, 지도교수"
diagnosis,진단
halfway,"중간[가운데쯤]에, 부분적으로"
southeast,"남동, 남동 지방, 미국 남동부 지방"
domain,"영역[분야], 소유지[영토]"
dedicate,"바치다, 헌정하다[바치다]"
drill,"드릴, 반복 연습, 훈련"
landmark,"주요 지형지물, 획기적 사건[발견/발명품 등]"
threshold,"문지방, 한계점, 문턱"
beam,"빛줄기, 기둥, 평균대"
carbohydrate,"탄수화물, 탄수화물 식품"
trim,"다듬다, 손질하다, 잘라 내다"
spectrum,"스펙트럼, 범위[영역]"
bold,"용감한, 선명한, 볼드체[굵은 활자체]의"
timber,"수목[산림], 목재, 대들보"
infected,감염된[오염된]
freshly,갓[막] …한
nineteenth,"제19, 19분의 1, 19일"
appropriately,"적당하게, 알맞게"
immoral,"비도덕적인, 음란한"
accidentally,"우연히, 뜻하지 않게"
beautifully,"아름답게, 아주 잘"
infamous,"악명 높은, 오명이 난"
hairdresser,"미용사, 미용실"
mandatory,"법에 정해진, 의무적인"
continuously,연달아
genuinely,"진정으로, 성실하게, 순수하게"
whistle,"호각, 호각[호루라기] 소리"
passionate,욕정[열정]을 느끼는[보이는]
disapproval,"반감, 안 된다고 하기"
hammer,"망치[해머], 해머, 공이치기"
high-profile,세간의 이목을 끄는
wallet,"지갑, 가방"
alignment,"가지런함, 지지"
transparent,"투명한, 속이 뻔히 들여다보이는"
stab,"찌르기, 찌르는[쑤시는] 듯한 통증[느낌]"
worrying,"걱정스러운, 걱정되는"
melody,"멜로디[선율],곡[노래]"
confess,"자백하다, 고백[인정]하다"
quotation,"인용구[문], 인용, 견적"
quest,"탐구,탐색"
hostile,"적대적인, 강력히 반대[거부]하는"
willingness,쾌히[자진하여] 하기
functional,"기능 위주의, 기능상의, 가동되는"
loop,"고리, 고리 , 루프"
purse,"지갑, 돈[자금, 주머니 사정"
adviser,"고문, 조언자"
momentum,"탄력[가속도], 가속도"
dam,"둑, 둑으로 막아 놓은 물"
outsider,국외자[아웃사이더]
stance,"입장[태도], 자세"
deer,사슴
high-tech,"첨단 기술의, 최첨단의"
skip,깡충깡충[팔짝팔짝] 뛰다[뛰며 가다]
partial,"부분적인, ~을 매우 좋아하는"
mortality,언젠가는 죽어야 함
admission,"들어감, 시인[인정]"
plunge,거꾸러지다[거꾸러뜨리다]
derive,"얻어오다, 유도하다., 유래를 찾다"
poke,"쿡 찌르다, 밀다[찌르다]"
elaborate,"정교한, 정성[공]을 들인"
autonomy,"자치권, 자주성"
rental,"사용료, 임대, 임대[임차/대여]물"
projection,"예상[추정], 투사, 투사도"
legitimate,"정당한, 합법적인, 적출인"
distinct,"뚜렷한, 뚜렷이 다른[구별되는]"
cardboard,판지
uncontrolled,억제[제어]되지 않는
cheque,수표
cultivate,"경작하다, 재배하다, 구축하다[쌓다]"
enthusiast,"열광적인 팬, 열렬한 지지자"
unwilling,"꺼리는, 마지못해 하는"
straightforward,"간단한, 솔직한"
encouragement,격려[고무]
curl,곱슬곱슬하다[하게 만들다]
jelly,"젤리, 젤리형 소스, 젤리형 크림"
packaging,"포장재, 포장"
patch,"부분, 조각, 안대"
lethal,치명적인
kindly,"친절한, 다정한"
neatly,"깔끔하게, 말쑥하게"
sympathetic,"동정적인, 동조하는, 호감이 가는"
sore,아픈[따가운/화끈거리는]
promptly,"지체 없이, 정확히 제 시간에"
varied,"다양한, 다채로운"
aloud,"소리 내어, 큰소리로"
approximate,"거의 정확한, 근사치인"
glorious,"영광스러운, 눈부시게 아름다운"
cycling,"자전거 타기, 사이클링"
communist,"공산주의자, 공산당원"
coughing,기침
ton,"톤, 톤, 아주 많음, 100"
backward,"뒤의, 뒷걸음질하는, 발전이 더딘"
accountable,책임이 있는
bound,"꼭 …할 것 같은, 얽매인"
leak,"새게 하다, 새다, 누설[유출]하다"
fatal,"죽음을 초래하는, 치명적인"
lap,"무릎, 한 바퀴, 한 구간[부분]"
receiver,"수화기, 수신기[수상기]"
compound,"복합체, , 합성어, 구내"
acceptance,"받아들임[수락], 동의"
monthly,"한 달에 한 번의, 다달이 지불하는"
fiscal,국가 재정[세제]의
democrat,"민주주의자, 민주당원[민주당 지지자]"
chaos,"혼돈, 혼란"
lobby,로비
doctrine,"교리, 원칙"
convey,"전달하다[전하다], 실어 나르다"
compensation,"보상, 보상[이득]"
opera,"오페라, 오페라단"
oral,구두[구술/구전]의
automobile,자동차
hint,"힌트, 암시, 전조"
parade,"퍼레이드, 열병식, 일련"
judicial,사법[재판]의
pro,"프로 , 찬성자"
supposed,소위[이른바] …라는
readily,"손쉽게, 선뜻"
revolutionary,"혁명의, 혁명[획기]적인"
liability,"법적 책임, 골칫거리, 부채"
kit,"조립용품 세트, 세트, 복장"
dignity,"위엄, 존엄성, 자존감"
Bull,"황소, 코끼리[고래 및 다른 큰 동물]의 수컷"
refrigerator,"냉장고 , 증기 응결기"
equip,"장비를 갖추다, 준비를 갖춰 주다"
coordinator,동격으로 하는 것[사람]
skull,"두개골, 머리"
aesthetic,"심미적, 미적인"
stack,"무더기[더미], 많음, 굴뚝"
patent,특허권[증]
attendance,"출석, 참석자 수"
Catholic,"가톨릭교회의, 천주교의"
Jewish,유대인[유대교]의
weed,"잡초, 수초, 물풀"
glimpse,"잠깐[언뜻] 봄, 짧은 경험[접촉]"
widow,"미망인, 과부, 홀어미"
confession,"자백, 고백[인정], 고해"
scissors,가위
damp,축축한[눅눅한]
rumour,소문
fond,애정을 느끼는[좋아하는]
notably,"특히, 현저히, 뚜렷이"
lump,"덩어리, 각설탕, 혹"
navy,해군
Suitcase,여행 가방
theft,절도
surroundings,환경
wildly,"걷잡을 수 없이, 극도로"
loosely,"느슨하게, 엄밀하지 않게"
nonsense,터무니없는[말도 안 되는] 생각[말]
harbour,"항구, 항만"
prey,"먹이[사냥감], 희생자[피해자]"
persistent,"끈질긴, 끊임없이 지속[반복]되는"
reassure,안심시키다
interruption,"중단, 가로막음[방해함]"
hundredth,백[100] 번째
archive,기록 보관소
artistically,"예술[미술]적으로, 예술적으로 보아[보면]"
affection,"애착, 애정"
alphabetical,알파벳순의
broadly,"대략, 활짝"
bureaucracy,"요식 체계, 관료"
wit,"기지, 재치 있는 사람, 지혜"
pronunciation,발음
eternal,"영원한, 끊임없는"
chemist,"약사, 약국, 화학자"
timetable,"시간표, 일정표"
unacceptable,받아들일[용납할/인정할] 수 없는
useless,"소용없는, 잘 못하는"
whereby,…하는
refusal,"거절, 거부"
renew,"재개하다, 갱신[연장]하다"
probable,있을[사실일] 것 같은
pronounced,"확연한, 단호한, 천명된"
pleasing,"즐거운, 기분 좋은"
certificate,"증서, 자격증"
exclusion,"제외, 제외되는 사람[것]"
substitute,"대신하는 사람[것], 교체 선수"
hostility,"적의, 강한 반대[반감]"
morality,"도덕, 도덕성, 도덕률"
acre,에이커
diplomat,"외교관, 외교[사교]에 능한 사람"
sometime,언젠가
rugby,럭비
paragraph,"단락, 절"
teaspoon,"찻숟가락, 찻숟가락"
infant,유아
formation,"형성 , 형성물, 대형[편대]"
scope,"기회[여지/능력], 범위"
handful,"줌, 몇 안 되는 수, 다루기 힘든 사람[동물]"
downtown,"도심지, 상가, 상업 지구"
eager,"열렬한, 간절히 바라는"
demonstration,"시위, 설명, 입증, 드러냄"
cluster,"무리, 자음군"
identification,"신원 확인, 신분 증명, 식별"
transformation,변화[탈바꿈]
nonetheless,그렇기는 하지만
sacred,"성스러운, 종교적인"
homeless,"노숙자의, 노숙자들"
trunk,"나무의 몸통, 코, 트렁크"
echo,"울림, 반복[상기시키는 것]"
re,"…와 관련하여, 회신으로"
suburb,교외
seemingly,"외견상으로, 겉보기에는"
contend,"주장하다, 다투다[겨루다]"
arena,"경기장[공연장], 무대"
basement,지하층
scatter,"뿌리다, 황급히 흩어지다[흩어지게 만들다]"
execute,"처형[사형]하다, 실행[수행]하다"
convict,유죄를 선고하다
ballot,"무기명[비밀] 투표, 투표용지"
accommodate,"공간을 제공하다,수용하다"
canvas,"캔버스 천, 화폭, 유화"
profound,"엄청난[깊은], 깊은[심오한]"
format,"구성 방식, 판형, 포맷"
corruption,"부패[타락], 오염, 변형"
complexity,"복잡성, 복잡한 특징들"
rebel,반란[모반]을 일으키다
structural,"구조상의, 구조적인"
residential,거주하기 좋은
acquisition,"습득, 구입[취득]한 것"
endorse,"지지하다, 보증[홍보]하다"
burning,"불타는, 화급한 사안/문제"
realm,"영역[범위],왕국"
diplomatic,"외교의, 외교적 수완이 있는"
abstract,"추상화, 개요"
lately,"최근에, 얼마 전에"
jewelry,"보석류, 보석 세공"
slap,"철썩 때리다[치다], 탁[털썩] 놓다"
dilemma,딜레마
concede,"인정하다[수긍하다], 내주다[허락하다]"
verdict,"평결, 의견[결정]"
practitioner,"의사, 변호사"
trash,"쓰레기, 쓰레기 같은 것"
utilize,활용[이용]하다
anonymous,"익명인, 익명으로 된"
pulse,"맥박, 리듬[고동], 진동[파동]"
partially,"부분적으로, 불완전하게"
debut,"데뷔, 첫 출연[출전]"
fierce,"사나운, 격렬한, 극심한"
weaken,"약화시키다, 약하게 만들다"
marketplace,"시장, 장터"
ambassador,대사
boast,"뽐냄, 자랑"
excessive,"지나친, 과도한"
cemetery,묘지
jurisdiction,"관할권, 관할 구역"
peasant,"소작농[소농], 무식쟁이"
brutal,"잔혹한, 인정사정없는"
privately,"남몰래, 은밀히, 개인으로서"
suite,"스위트룸,세트,모음곡"
denial,"부인[부정], 거부, 부정"
managing,관리하기
steadily,"착실하게, 견실하게, 척척"
shaped,…의 모양[형태]의
imprison,"투옥하다, 감금하다"
sponsorship,"후원[협찬], 후원"
exaggerated,"과장된, 과장된"
gamble,"돈을 걸다, …을 걸다"
Insider,내부자
fortunate,"운 좋은, 다행한"
unusually,"대단히, 평소와 달리"
admiration,"감탄, 존경"
proudly,"자랑스럽게, 위풍당당하게"
nephew,조카
accountant,"회계원, 회계사"
upward,"위쪽을 향한, 증가[상승]하고 있는"
remains,"남은 것, 유적, 유해"
amusing,"재미있는, 즐거운"
luggage,짐[수하물]
gambling,도박
pint,"파인트, 맥주 1파인트"
sideways,"옆으로, 옆으로"
memorial,기념비
clarify,"명확하게 하다, 투명하게 만들다"
namely,"즉, 다시 말해"
ambulance,구급차
threatening,"협박하는, 금방이라도 비를 뿌릴 듯한"
fetch,가지고[데리고/불러] 오다
burnt,덴[탄]
separately,"따로따로, 각기, 별도로"
confine,"국한시키다, 넣다[가두다]"
decorative,"장식이 된, 장식용의"
width,"폭, 너비"
occurrence,발생하는[존재하는/나타나는] 것
inflict,가하다[안기다]
incur,초래하다[처하게 되다]
illegally,불법적으로
horizontal,"수평, 가로의"
citizenship,"시민[공민]권, 시민의 신분[자질]"
grandson,"손자, 외손자"
governance,"통치, 관리"
mercy,"자비, 고마운[다행스러운] 일"
politely,"공손히, 예의 바르게, 점잖게"
covering,"…을 덮는 막[층], 외피[피복]"
crown,"왕관, 정부, 왕위, 화관"
dedication,"전념, 봉헌식, 헌정사"
deed,증서
disgusting,"역겨운, 혐오스러운"
commerce,"무역, 상업"
alarming,"걱정스러운, 두려운"
articulate,분명히 표현하다[설명하다]
albeit,비록 …일지라도
anchor,"닻, 정신적 지주"
accidental,"우연한, 돌발적인"
willingly,"자진해서, 기꺼이, 쾌히"
foreigner,"외국인, 국외자"
weave,"짜다[엮다], 엮다[엮어 만들다]"
plea,"애원, 답변[항변], 이유[사유서]"
dictate,명령[요구/규칙]
naval,해군의
vs,…대
analyze,"분석하다 , 분석적으로 검토하다"
tablespoon,"테이블스푼, 테이블스푼"
pant,헐떡이다
closer,"닫는 것[사람], 최종회"
porch,"현관, 베란다"
counselor,"고문, 변호사, 법무관."
scholarship,"장학금, 학문"
flavor,"풍미, 멋, 맛, 특징"
conviction,"유죄 선고[판결], 신념[의견]"
workshop,"작업장, 워크숍"
auto,자동차
assert,"주장하다, 자기주장을 하다"
orientation,"방향, 성향, 오리엔테이션"
institutional,"기관의, 보호 시설의"
nomination,"지명, 추천, 임명"
subsequent,"그[이] 다음의, 차후의"
consensus,"의견 일치, 합의"
rape,강간하다
presidency,대통령 직[임기]
suburban,"교외의, 평범한"
corridor,"복도, 통로, 종주 지형"
administrative,관리[행정]상의
initiate,"개시되게 하다, 접하게 하다"
legislative,"입법의, 입법부의"
inspector,"조사관, 경위, 검표원"
array,"집합체[모음/무리], 배열"
limb,"팔[다리], 날개, 나뭇가지"
amendment,"개정[수정], 미국 헌법 수정 조항"
mandate,"권한, 통치[재임] 기간"
respectively,"각자, 각각, 제각기"
handsome,"멋진, 보기 좋은, 많은[큰]"
residence,"주택, 거주지, 거주[상주]"
suspend,"매달다, 유예[중단]하다"
crawl,"기다, 기어가다, 굽실거리다"
hostage,인질
prohibit,"금하다[금지하다], …하지 못하게 하다"
trailer,"트레일러, 트레일러하우스"
gasoline,"휘발유, 가솔린"
wagon,"화물 기차, 화차"
inmate,"수감자, 재소자"
parental,"부모의, 아버지[어머니]의"
condemn,"규탄[비난]하다, 처하게 만들다"
grin,활짝[크게] 웃다
collaboration,"공동 작업[연구], 공동 작업물[연구물]"
patrol,"순찰을 돌다, 돌아다니다"
terrific,"아주 좋은, 엄청난"
accomplishment,"업적, 재주, 완수"
commissioner,"위원, 경찰국장, 장관"
catalog,"목록, 열기"
donation,"기부, 기증"
consequently,"그 결과, 따라서"
legislature,"입법 기관, 입법부"
franchise,가맹점 영업권[독점 판매권]
comprise,…으로 구성되다[이뤄지다]
placement,"취업[거주지] 알선, 현장 실습"
custody,"양육권, 유치"
installation,"설치[설비], 장치, 시설"
confrontation,"대치, 대립"
density,밀도
unfold,"펴다[펼치다], 펼쳐지다[밝혀지다]"
validity,"유효함, 타당성"
compliance,"준수, 따름"
parish,"교구, 행정 교구"
squad,"반[계], 선수단, 분대"
refuge,"피난, 은신처[보호막]가 되어 주는 곳[사람/사물]"
triumph,"업적[승리], 대성공, 승리감"
feminist,"페미니스트, 여성주의자"
constraint,"제약, 제한"
municipal,지방 자치제의
liver,"간, 간 , 생활자"
blond,"금발인, 흰"
offender,범죄자
authorize,재가[인가]하다
defender,"수비 선수, 옹호자"
consecutive,연이은
coordinate,"조직화[편성]하다, 조정하다"
riot,"폭동, 모임[집합]"
sovereignty,"통치권, 자주[독립]"
transit,"수송, 통과, 교통 체계"
seminar,"토론식 수업, 세미나"
cargo,화물
finished,"끝난, 끝난[다 된]"
drugstore,약국
moving,가슴[마음]을 뭉클하게[아프게] 하는
chairwoman,의장[회장]
warehouse,창고
faucet,꼭지
skilful,"능숙한, 전문가가 한[만든]"
oddly,"이상[특이]하게, 이상하게도"
delegation,"대표단, 위임"
revision,"수정[정정] , 검토, 시험공부"
betting,내기
coldly,"냉담하게, 쌀쌀맞게"
irritated,짜증[화]이 난
sincerely,진심으로
disapproving,탐탁찮아[못마땅해] 하는
alternatively,"그 대신에, 그렇지 않으면"
awfully,"정말, 몹시"
knit,"뜨다[짜다], 밀접하게 결합시키다[맺다]"
entertaining,"재미있는, 즐거움을 주는"
knot,"매듭, 올린 머리, 옹이"
bitterly,"비통하게, 몹시, 매섭게 추운"
mistaken,잘못 알고[판단하고] 있는
entertainer,"연예인, 엔터테이너"
finely,"잘게[곱게], 멋있게, 섬세[정교]하게"
gallon,갤런
stripe,"줄무늬, 수장"
curb,"재갈쇠[줄]., 제어"
photocopy,복사
knitting,뜨개질감
eleventh,"제11의, 11번째의"
niece,"조카딸, 질녀"
ninth,"제9의, 아홉째의"
lad,"사내애, 청년"
midday,"정오, 한낮"
twisted,뒤틀린
unsteady,"불안정한, 떨리는, 휘청거리는"
bandage,붕대
rudely,"무례하게, 깜짝 놀라"
unload,"짐을 내리다, 총알을 빼내다, 떠넘기다"
thickly,"두껍게, 나무, 잠긴[탁한/쉰 듯한] 목소리로"
faithful,"충실한, 신앙인들, 충실한"
faithfully,"충실히, 정확히, 충직하게"
summarize,요약하다
organizer,"조직자., 창립 위원."
specialise,전공하다[전문적으로 다루다]
translator,"번역가, 통역사"
marked,"뚜렷한, 유표적인"
germ,"세균, 기원"
automate,자동화하다
nickname,별명
plural,복수형
earning,"벌기, 소득"
happening,"일[사건], 행위[공연]"
amongst,"…에 둘러싸인, …중[사이]에"
craze,대유행[열풍]
synthetic,"합성한, 인조의, 종합적인"
taboo,"금기 , 금기시되는 것"
compassionate,"연민 어린, 동정하는"
muse,뮤즈
Galaxy,"은하계, 은하수, 기라성"
misunderstand,오해하다
boxer,"권투 선수, 복서"
hybrid,"잡종, 혼성체, 혼합물"
compass,"나침반, 컴퍼스, 범위"
fascination,"매력, 매혹"
goldfish,금붕어
implicit,"암시된, 내포[포함]되는"
spinach,시금치
relish,즐기다[좋아하다]
automation,자동화
envy,"부러움, 선망"
suffix,접미사
hypocrite,위선자
doom,"죽음, 비운"
bump,"부딪치다, 찧다[부딪치다]"
buzz,"윙윙거리다, 윙하는 소리를 내다"
cube,"정육면체, 네모[깍둑]썰기 한 것"
cleaner,"청소부, 청소기, 세탁소"
chant,"구호, 성가"
orchard,과수원
grandma,"할머니, 외할머니"
wink,"윙크하다, 깜박거리다"
unhappiness,"불행, 불운, 비참"
penguin,펭귄
overtake,"추월하다, 앞지르다[능가/추월하다]"
mammal,포유동물
groom,"손질[솔질]하다, 대비시키다[훈련하다]"
roast,"굽다, 굽힐[데일] 지경이 되다[지경이 되게 하다]"
stigma,"오명, 암술머리"
cholera,콜레라
programmer,프로그래머
hygiene,위생
migrant,"이주자, 철새"
marvel,"경이, 경이로운 결과[업적]"
pest,"해충, 성가신 사람[것]"
dragon,"용, 거친 여자"
stimulation,"자극, 흥분, 고무"
utopia,"이상향, 유토피아"
chord,"화음,현"
conspicuous,"눈에 잘 띄는, 튀는, 뚜렷한"
sanitary,"위생의, 위생적인"
bacon,베이컨
persuasive,설득력 있는
flora,"식물군[상], 꽃의 여신"
follower,"추종자, 팬, 모방자"
mentality,사고방식
token,"토큰, 상품권, 선물권[할인권]"
cyclone,사이클론
greed,"탐욕, 식탐"
toothbrush,칫솔
commonplace,아주 흔한
drinker,"술을 마시는 사람, …을 마시는 사람"
surpass,"능가하다, 뛰어넘다"
masculine,남자 같은
murderer,"살인범[자], 살해범"
whim,"기분, 변덕"
waitress,"웨이트리스, 여자 급사"
fluctuate,변동[등락]을 거듭하다
livelihood,생계
fluent,능수능란한
repetition,반복[되풀이]
circular,"원형의, 순회하는, 순환적인"
emit,내다[내뿜다]
feminine,여성스러운
hertz,헤르츠
bearing,"관련, 태도, 방향[방위]"
aerial,"항공기에 의한, 공중의"
fountain,"분수, 분수처럼 뿜어져 나오는 것"
arctic,"북극의, 극도로 추운"
restrain,"저지[제지]하다, 억누르다[참다]"
irrational,비이성[비논리]적인
prefix,"접두사, 앞에 오는[붙는] 것"
drummer,"고수, 드럼 연주자"
magnet,"자석, …을 끄는[매료하는] 사람[것/장소]"
sickness,"질병, 병, 메스꺼움, 극심한 슬픔"
splash,철벅[후두둑] 떨어지다
sterile,"불임의, 살균한, 아무 소득 없는"
pollen,"꽃가루, 화분"
witch,"마녀, 마녀 같은[추하고 기분 나쁜] 노파"
athletic,"탄탄한, 육상"
belly,"배, 둥그런[볼록한] 부분"
vinegar,식초
eradicate,"근절하다, 뿌리뽑다"
intonation,"억양, 인토네이션"
solitude,고독
sanitation,위생 시설[관리]
cooler,"냉장고[냉장 박스], 쿨러"
humility,겸손
cane,"줄기, 지팡이, 회초리"
fictional,"허구적인, 소설의"
greedy,"탐욕스러운, 욕심 많은"
adverb,부사
novelty,"새로움, 새로운[참신한/신기한] 사람[것]"
exclamation,"외침, 절규, 감탄"
scroll,"두루마리, 소용돌이무늬"
maiden,"처녀, 무득점 오버"
oyster,굴
pastry,페이스트리 반죽
steadfast,변함없는
archaic,"낡은, 구식인, 태곳적의"
downtime,한가한[휴식] 시간
autograph,"사인, 자필, 자서, 자필의 원고"
virgin,"숫처녀[총각], 성모 마리아"
imitate,"모방하다, 흉내내다"
forceful,"단호한, 강력한, 강압적인"
bald,"대머리의, 벗겨진, 단도직입적인"
spontaneous,"자발적인, 즉흥적인, 저절로 일어나는"
normalise,"정상화되다, 정상화하다"
obsolete,더 이상 쓸모가 없는
lecturer,"강사, 강사"
intensely,"강렬하게, 격하게, 열정적으로"
contradictory,모순되는
extinction,"멸종, 절멸, 소멸"
smog,"스모그, 연무"
unfamiliar,"익숙지 않은, 지식[경험]이 없는"
astonish,깜짝[크게] 놀라게 하다
humiliate,굴욕감을 주다
cram,"밀어[쑤셔] 넣다, 벼락치기 공부를 하다"
diver,"잠수부, 다이빙하는 사람"
contaminate,"오염시키다, 오염시키다[악영향을 주다]"
custard,"커스터드 소스, 커스터드 과자"
augment,"늘리다, 증가시키다"
pumpkin,호박
mock,"놀리다[조롱하다], 무시[경시]하다"
bundle,"꾸러미, 묶음, 재미있는 사람"
unsafe,"안전하지 못한, 위험한"
portable,휴대[이동]가 쉬운
stereo,"스테레오, 입체 음향"
undesirable,"원하지 않는, 달갑지 않은"
sneeze,재채기하다
pendulum,"추, 진자"
rhinoceros,"코뿔소, 무소"
prodigy,영재
woolly,"털이 뒤덮인, 털실로 만든[짠]"
signify,"의미하다, 뜻하다, 나타내다"
parasite,"기생 동물[식물], 기생충 같은 인간"
lipstick,립스틱
nutritious,영양분이 많은
linguist,수개 국어에 능통한 사람
atmospheric,"대기의, 분위기 있는"
wade,헤치며 걷다
seaside,해변[바닷가]
relaxation,"휴식, 휴식 삼아 하는 일"
sociable,사람들과 어울리기 좋아하는
believable,그럴듯한
ambiguous,"애매모호한, 분명히 규정되지 않은"
artisan,"장인, 기능 보유자"
emperor,황제
fume,"연무, 향기, 몽롱한 기분"
drawback,"결점, 문제점"
innate,"타고난, 선천적인"
feast,"연회, 축제일, 향연"
recreate,되살리다[재현하다]
bilingual,두 개 언어를 할 줄 아는
illuminate,"비추다, 밝히다[분명히 하다]"
averse,~을 싫어하는[반대하는]
established,"인정받는, 저명한, 국교의"
hike,하이킹[도보 여행]을 가다
raised,높은[높이 올린]
hemisphere,"반구, 반구체"
minimise,"최소화하다, 축소하다"
meditate,"명상[묵상]하다, …을 꾀하다[계획하다]"
financially,"재정적으로, 재정상"
