word,meaning
meaningless,무의미한
grammatical,"문법의, 문법상의"
mould,"곰팡이, 형, 틀, 주물"
slippery,"미끄러운, 불안정한, 잡을 데가 없는, 뻔뻔스러운"
bathe,"미역, 담그다, 씻다, 뒤덮다"
stink,"악취, 화학, 평이 나쁘다, 지르다"
subscribe,"승낙하다, 서명하다, 기부명부에 기명하다, 예약하다"
taxation,"과세, 소송 비용 사정, 전조세"
tread,"흘레, 밟음, 밟히는 것, 제관섭상"
singular,"단수형, 단수, 둘도 없는, 남다른"
snatch,"인상, 조각, 급히 먹는 식사, 성교"
rogue,"악당, 부랑자, 망나니, 개구쟁이"
munch,우적우적 먹다
gardener,"정원사, 원예사, 원예 애호가, 외야수"
characterise,"특성을 나타내다, 특성을 부여하다, 성격을 부여하다"
decease,"사망, 사망하다"
ingenious,"영리한, 재간 있는, 독창적인"
thrill,"스릴, 전율, 떨림, 동계"
eagerly,열심히
breeding,"번식, 증식, 가계, 가정교육"
wrapper,"싸개, 겉잎, 싸는 사람, 싸는 것"
trance,"황홀, 실신, 황홀하게 만들다"
finite,"한정된, 제한된, 정형의"
freckle,"주근깨가 생기다, 주근깨가 생기게 하다"
nurture,"양육, 양육하다, 양성하다"
antarctic,남극의
prominence,"돌기, 흥염, 눈에 띔, 태양의 흥염"
seasonal,"계절의, 특정한 계절만의"
nude,"나체상, 그림 따위의 나상, 그림 따위의 나체상, 조각 따위의 나상"
physiology,생리학
inert,"둔한, 자동력이 없는"
fertility,"비옥, 수정 능력, 출생률, 수정률"
truce,"휴전, 휴지, 휴전협정, 휴전에 의해 중지하다"
joyful,즐거운
scrap,"한조각, 소량, 먹다 남은 것, 다툼"
acting,"직무 대행의, 연출용의, 가짜의"
messenger,"전령, 심부름꾼, 선구"
merchandise,"상품, ...을 매매하다, ...을 거래하다, ...을 상품화해서 판매를 꾀하다"
fortress,"요새, 요새 도시, 요새지"
earthworm,"지렁이, 땅속에 사는 벌레"
economical,"경제학의, 경제의, 경제상의, 경제적인"
escalation,단계적 확대
eternity,"영원, 영겁, 구원, 만년"
fugitive,"도망자, 사라져 버리는 것, 없어져 버리는 것, 도망하는"
impetus,"운동량, 기동력"
hotly,뜨겁게
abrupt,"험준한, 뜻밖의, 급전하는, 단열의"
acquaintance,"아는 사람, 안면, 면식, 지면"
comparatively,비교적으로
civility,"정중, 예의바른 말, 예의바른 태도, 정중한 말"
chisel,"속이다, 끌로 파다, 끌로 새기다, 끌을 쓰다"
frightful,"무서운, 불쾌한, 아주 보기 흉한, 아주 보기 싫은"
frost,"서리, 프로스트, 결빙, 냉담"
congest,"혼잡하게 하다, 충혈시키다, 울혈시키다, 혼잡해지다"
spiral,"나선, 나사, 나선상 진행 과정, 소용돌이선"
recline,"...에 기대다, 기대게 하다"
resentment,"원한, 원통"
mankind,"인류, 인간, 남성, 오인"
blindness,맹목
bodily,"신체상의, 육체상의, 구체의"
ache,"아픔, 아프다, ...하고 싶어 못 견디다"
apprentice,"도제, 초심자"
dame,"여자, 귀부인, 지체가 높은 숙녀, 나이가 든 여인"
defraud,"속이다, 속여서 빼앗다"
doubtful,"불안한, 못 미더운, 의심을 품고 있는, 의심스러운"
exterior,"외부, 외모, 옥외 풍경, 관계 없는"
goddess,여신
fin,"지느러미, 수직 안정판, 물갈퀴, 손"
paste,"풀, 반죽, 강타, 납 유리"
literal,"정확한, 융통성 없는, 사람 융통성 없는, 문자 그대로 정확한"
insignificant,"의미 없는, 대수롭지 않은"
impartial,치우치지 않은
hopeless,"희망을 잃은, 쓸모없는"
emigrate,이주하다
Puritan,"청교도, 청교도 같은, 청교도의"
reminiscent,"추억을 말하는 사람, 옛날을 회상하는, 추억에 잠기는, 생각나게 하는"
scalp,"머리 가죽, 민둥산 꼭대기, 고래 대가리, 머리털이 붙은 머리 가죽"
oppress,"압박하다, ...에게 압박감을 주다, ...에게 답답한 느낌을 주다, 압제하다"
ponder,"숙고하다, 생각하다"
precarious,"믿을 수 없는, 남의 마음대로 되는, 근거가 불확실한"
pickle,"간물, 절인 것, 곤란한 입장, 난처한 입장"
sober,"냉정한, 수수한, 술 취하지 않은, 과장이 없는"
telecommunication,전기통신
veil,"베일, 덮개, 연구개, 감추다"
disdain,"경멸감, 경멸하다, ..할 가치가 없다고 생각하다"
pretext,이름
sweeping,"청소, 쓸어 모은 것, 철저한, 일소하는"
poetic,"시의, 이상화된"
soothe,"달래다, 진정시키다, 만족시키다"
volcanic,"화산의, 폭발성의"
wedge,"쐐기, 쐐기 모양, 쐐기 모양의 물건, 사이를 갈라놓는 것"
turbine,터빈
ripple,"리플, 파문, 파상, 잔물결 소리"
hive,"꿀벌의 벌집벌통, 한 벌통의 꿀벌떼, 벌통에 모으다, 벌통에 살게 하다"
gloomy,"우울한, 어두운, 음울한"
lavish,"풍부한, 아낌없는, 낭비벽이 있는, 아낌없이 주다"
incite,자극하다
mitigate,완화하다
mantle,"맨틀, 망토, 덮개, 벽난로 선반"
pacify,"가라앉히다, 어루만지다"
chastise,"벌하다, ...을 몹시 비난하다"
canyon,"깊은 협곡, 큰 협곡"
repress,"억누르다, 정복하다"
populate,...에 거주시키다
rustle,"훔치다, 살랑살랑 흔들다, 서둘러 다루다, 살랑거리다"
gossip,"잡담, 수다쟁이, 속화, 잡담을 하다"
meddle,"간섭하다, 공연히 만지작거리다, 집적거리다"
guild,"동업 조합, 동업 단체, 일반적으로 동업 조합"
speaking,"말하기, 발언, 말하는, 말이라도 할 것 같은"
hypocrisy,위선
pentagon,오각형
insular,섬의
alibi,"구실, 변명, 현장부재 증명"
juvenile,"소년, 어린이 다운, 소년의, 소녀의"
habitual,스관적인
oxide,산화물
simplify,간단하게 하다
detach,"떼다, 파견하다"
dreamer,꿈 꾸는 사람
duplicate,"복제, 동의어, 짝을 맞추는 한 쪽의 표, 짝을 이루는 한 쪽의 표"
revolve,"회전하다, 공전하다, 머리속에서 맴돌다, 생각이 머리속에서 맴돌다"
memorandum,"각서, 메모, 비망록, 적요"
envelop,"싸다, 포위하다"
know-how,실제적 지식
glee,"기쁨, 삼부 또는 그 이상의 합창곡"
standby,"캔슬대기로, 긴급할 때 즉시 쓸 수 있는, 의지할 수 있는 것, 의지할 수 있는 사람"
seaweed,해초
turtle,"터틀, 바다거북, 거북의 고기, 호도애"
amplify,"더욱 상 세히 하다, ...을 확대하다, ...을 증대하다, ...을 과장하다"
vibrate,"떨리다, 설레다, 진동하다, 흔들리다"
gratitude,감사
sustenance,"생계, 음식, 지지"
planetary,"지구의, 행성 같은, 행성의, 천체의 영향을 받은"
intentional,계획적인
playground,"운동장, 학교 따위의 운동장"
vibration,"진동, 동요, 진동 시키기, 정신적 전파"
fulfilment,이행
dangerously,위험하게
deception,"기만, 속임, 기만 수단"
sip,"한모금, 조금씩 마시다, 찔끔찔끔 마시다"
sympathise,"동정하다, 동감하다, 공명하다"
siren,"사이렌, 아름다운 목소리의 여가수, 고혹적인 미인, 사이렌의"
spurious,"가짜의, 비논리적인, 사생아의, 의사의"
sanctuary,"성역, 성전, 안식처, 신성한 곳"
palate,"구개, 미각"
exhaustion,"피로, 배기, 철저한 검토, 궁"
grate,"화상, 쇠격자, 갈다, ...에 쇠창살을 대다"
mythical,신화의
recite,"암송하다, 특히 청중 앞에서 암송하다, 이야기하다, 낭송하다"
despair,"절망, 절망의 근원, 절망하다"
ramble,"산책, 소요, 빈둥빈둥 거닐다, 두서없이 지껄이다"
scorn,"경멸, 경멸받는 사람, 경멸받는 것, 경멸하다"
scourge,"채찍, 천벌, 몹시 괴롭히다, 채찍질하다"
kin,"혈연, ...의 작은 것의 뜻, 혈족인"
proficiency,진보
unlock,"터놓다, 자물쇠를 열다, 자물쇠가 열리다"
south-west,"남서, 남서부, 남서지방, 남서로의"
sponge,"스펀지, 해면, 해면 같은 물건, 세간"
sniff,"맡다, 코를 킁킁거리다, 코로 들이쉬다, ...의 냄새를 맡다"
sensational,"눈부신, 선풍적 인기의, 인기 끌기 위주의, 감각상의"
sewer,"하수, 하수도, 하수구, 급사장"
bloom,"꽃, 개화, 개화기, 화"
Arabic,"아라비아 말, 아라비아 사람의"
banquet,"연회, 향연, 주석, 연회를 베풀어 대접하다"
wicked,"사악한, 장난기 있는, 불쾌한, 우수한"
unaware,"알지 못하는, 부주의한, 알지 못하고, 뜻밖에"
uncountable,"셀 수 없는, 불가산의"
eruption,"분화, 폭발, 분출, 발진"
womb,"자궁, 태, 배, 한배"
polar,"극선, 남극의, 북극의, 극을 가진"
camel,"낙다, 부함, 낙타색, 낙타색의"
lookout,"임무, 조망, 감시소, 망보기"
linguistic,언어의
leafy,"잎이 많은, 잎으로 된, 넓은 잎의"
housewife,"주부, 반짇고리"
ignorant,무식한
intuition,"직관, 직각"
Isle,섬
heroine,"여걸, 여주인공, 반신녀"
misuse,"오용, 말 따위의 오용, 잘못 쓰다, 오용하다"
moderation,"절도, 적당, 적도, 비 일차 전학년 공통시험"
patronise,"보호하다, 수호하다, 단골로 하다, 상점 따위를 단골로 하다"
rag,"조각, 짓궂은 장난, 낡은 신문지, 낡은 손수건"
psychic,"무당, 영혼의"
enlighten,"밝히다, 계몽하다, 빛을 비추다"
enormously,막대하게
fascinated,"매혹하는, 노려보는"
fuss,"야단법석, 몸달아 설침, 수선, 야단법석하는 사람"
flatter,"즐겁게 하다, 아첨하다, 실물 이상으로 좋게 나타내다, 우쭐하게 하다"
dissatisfy,불만을 느끼게 하다
ditch,"도랑, 영국 해협, 치다, 버리다"
daytime,"낮, 주간, 하루"
archaeology,고고학
adventurous,"모험을 좋아하는, 모험적인"
bonnet,"보닛, 덮개, 공모자, 테 없는 모자"
catastrophe,"대단원, 대이변, 지각의 격변, 대실패"
Celtic,"켈트 말, 켈트족의"
infancy,"초기, 초창기, 유소, 미성년"
intricate,뒤얽힌
minus,"마이너스, 마이너스 기호, 부수, ...을 뺀"
lease,"임차권, 차지계약, 차가계약, 임대하다"
lessen,"적게 하다, 작게 하다, 얕보다, 적게 되다"
loft,"로프트, 지붕 밑 다락방, 비둘기장, 고미다락에 저장하다"
magician,마술사
reconcile,"화해시키다, 조정하다, 조화시키다, 일치시키다"
rejoice,"기쁘게 하다, 가지고 있다, 기뻐하다, 좋아하다"
quench,"끄다, 잃게 하다, 없애다, 입을 막다"
phishing,피싱
possessive,"소유의, 소유욕의, 소유욕이 강한"
mythology,신화학
patriot,"애국자, 지사"
telecom,통신
sociology,"사회학, 군집 생태학"
stoop,"앞으로 굽은 사람, 현관 입구의 계단, 구부리다, 자기를 낮추어 ...하다"
shampoo,"샴푸, 마사지, 머리 감기, 샴푸로 감다"
riddle,"수수께끼, 눈이 성긴 체, 눈이 성긴 어레미, 풀다"
savage,"야만인, 잔인한 사람, 야만적인 사람, 잔인한"
vindicate,"...의 정당함을 입증하다, ...의 결백함을 입증하다, ...의 진실함을 입증하다, 진실성을 입증하다"
vacancy,"빈자리, 공허, 방심, 틈"
wag,"흔들기, 익살꾸러기, 게으름뱅이, 흔들다"
apprehension,"우려, 체포, 이해력"
apprehensive,"우려하는, 이해가 빠른"
afflict,괴롭히다
amenity,"예의, 기분에 맞음, 생활을 즐겁게 해주는 가지가지의 일"
abate,"감소시키다, 배제하다, 중지하다"
voyage,"항해, 도해, 여행기, 건너 지르다"
avoidance,"기피, 무효"
autobiography,"자서전, 육필인쇄술"
broom,"비, ...을 비로 쓸다"
tumour,종양
scarlet,"주홍, 진홍색, 선홍색, 진분홍 빛의 옷"
courteous,예의 바른
credulity,"망신, 믿기 쉬움"
coil,"코일, 사리, 혼란, 곱슬털"
captive,"포로, 포로의, 모회사에 전속된"
cannon,"대포, 캐논, 권총, 포골"
enchant,"호리다, 요술을 걸다"
edifice,"건물, 구성물"
dent,"옴폭 들어간 곳, 이, 옴폭 들어가다, 옴폭 들어가게 하다"
curtail,"줄이다, 삭감하다, 축소하다"
deceit,"책략, 사기, 사위"
deduction,"공제, 추론, 추정"
deformed,기형의
degenerate,타락자
fable,"우화, 전설, 꾸며낸 이야기, 줄거리"
extravagance,"사치, 방종한 언행"
explorer,"탐침, 인공위성, 탐구하는 사람"
farewell,"작별, 작별의 인사, 작별인사를 하다"
feeble,"희미한, 연약한, 의지가 박약한"
esteem,"존중, 존경하다, 존중하다, ...을 ...라고 생각하다"
estimation,"견적, 판단, 존중, 가치의 판단"
epithet,"별명, 형용어구, 형용어"
equator,"적도, 주야평분선, 균분원"
fusion,"퓨전, 용해, 연합, 원자핵의 결합"
footstep,"발자국, 발자국 소리, 보폭, 디딤대"
gust,"격발, 일진의 바람"
certify,"증명하다, 인증하다, ...에게 증명서를 교부하다, ...에게 증명서를 발행하다"
inactive,"활동하지 않는, 비활성의"
electron,"전자, 호박색의 금은 합금, 전자의, 호박색의 금은 합금의"
lance,"창, 랜싯, 작살, 랜싯 창"
textile,"직물, 짤 수 있는, 직물의"
ware,"제품, 용품, 상품, 물품"
balcony,"발코니, 전망대, 이층 특별석, 고물의 전망대"
stump,"그루터기, 나무 그루터기, 의족, 기둥"
extravagant,"기발한, 낭비하는"
anarchy,"무정부 상태, 난세, 난맥"
crescent,"초승달, 초승달 모양, 초승달 모양의 것, 초승달 모양의 기장"
expend,"둥근 기둥 등에 감다, 소비하다, 다 써버리다, 돈을 쓰다"
advent,"출현, 도래"
blaze,"불꽃, 섬광, 확 타오름, 지옥"
crest,"문장, 볏, 용마루, 꼭대기"
discreet,"사려있는, 분별있는, 지각있는"
discriminate,"식별된, 식별하다, 분간하다, 차별하다"
mummy,"엄마, 미라, 암갈색, 암갈색의 그림 물감"
harass,"괴롭히다, 애먹이다"
inflate,"부풀게 하다, 올리다, 득의 양양하게 하다, 과장하다"
waiting,"기다리는, 기다림, 대기 시간, 기다리는 시간"
selling,판매
tickle,"간지럼, 좁은 해협, 기쁘게 하다, 간질이다"
snowstorm,"눈보라, 눈보라 같은 것"
magnetism,"자기, 자성, 자력, 자기학"
pessimism,"염세주의, 염세"
flap,"플랩, 축 늘어진 물건, 벌어진 갓, 안절부절 못함"
freezing,"동결, 냉동, 어는, 몹시 추운"
hospitality,"환대, 관대, 친절히 대접하기"
snowy,"눈이 많은, 눈이 쌓인, 설백의, 순백의"
loser,"실패자, 진편, 장애 구역, 경기에서 진편"
chilly,"냉담한, 냉랭한, 오싹한, 냉랭하게"
pneumonia,폐렴
consciously,"의식하여, 자각하여, 의식적으로"
creak,"삐걱거리는 소리, 삐걱거리다"
handbook,"안내서, 편람, 내기 돈 장부"
gigantic,거인 같은
proportional,"비례항, 비례한"
watery,"물의, 물 같은, 싱거운, 눈물 어린"
dynasty,"왕조, 조"
chaotic,혼돈된
darling,"가장 사랑하는, 가장 사랑하는 사람, 임자, 가장 귀여워하는 사람"
cork,"코르크, 코르크 제품, 코르크마개, 코르크로 만든"
lantern,"칸델라, 등실, 채광창, 등대의 등실"
naughty,"못된, 장난꾸러기의, 아슬아슬한, 성교"
cluck,"꼬꼬 우는 소리, 얼간이, 꼬꼬 울다, 차다"
concise,간결한
vomit,"토하다, 게우다, 내뱉다, 도르다"
usefully,유용하게
temper,"기질, 기분, 침착, 균형"
speculative,"위험한, 사색적인, 투기적인, 사행적인"
spaceship,우주선
skim,"웃더껑이, 숨긴 소득, 웃더껑이의 제거, 스치듯 날려 보내다"
vintage,"포도 수확, 포도주, 포도 수확기, 포도 수확량"
wed,"...와 결혼하다, 결혼시키다, 단단히 결부시키다, 결부되다"
iceberg,빙산
self-control,"자제심, 자제"
stepmother,의붓어미
kite,"연, 솔개, 지연, 욕심꾸러기"
incline,"경사, 경사면, 기울다, 굽히다"
exceptionally,예외적으로
overthrow,"타도, 정복, 뒤집어 엎다"
subside,"앉다, 빠지다, 삐다, 가라앉다"
conquest,"정복, 정복하여 얻은 것, 애정의 획득"
void,"빈, 없는, 텅빈, 무효의"
dwell,"살다, 머무르다, 발을 올리는 것이 더디다"
lunar,"달의, 달의 작용에 의한, 초승달 모양의"
moisture,"수분, 습기"
penetrate,"통과하다, 빛 따위가 통과하다, 목소리 따위가 통과하다, ...에 스며들다"
nourish,"키우다, 기르다"
Possessor,소유자
unnatural,"부자연한, 자연적인 인정에 배치되는, 자연적인 본성에 배치되는, 자연적인 천성에 배치되는"
