word,meaning
plastic,"플라스틱, 플라스틱 제조"
interview,"면접, 인터뷰[회견], 면담"
species,종
require,"필요[요구]하다, 요구하다"
solution,"해법, 해답, 용액, 용해"
stage,"단계[시기], 무대, 연극"
site,"위치[장소], 현장"
hang,"걸림새, 늘어진 모양"
express,"나타내다, 의사[감정]를 표현[전달]하다"
approach,"접근법, 다가감[옴], 접촉[접근]"
writer,"작가, 쓴 사람, 글씨를 …하게 쓰는 사람"
remind,상기시키다
newspaper,"신문, 신문지"
financial,"금융[재정]의, 돈이 있는"
tax,세금
director,"임원[중역/이사], 책임자[관리자/지휘자/감독]"
attack,"폭행, 공격, 대처, 도짐[발발]"
identify,"확인하다[알아보다], 찾다"
original,"원래[본래]의, 독창적인"
represent,"대표[대신]하다, 대변[변호]하다"
heat,"열기, 온도, 더위, 불"
prove,"입증[증명]하다, 드러나다[판명되다]"
healthy,"건강한, 건강에 좋은, 건강함을 보여주는"
basic,"기본[근본]적인, 기초[기본]적인"
standard,"수준[기준], 기준, 규범"
influence,"영향, 영향력"
debate,"토론[토의/논의], 논쟁"
remove,"치우다[내보내다], 벗다"
seven,"7, 일곱"
receive,"받다, 받다, 받아들이다[받다]"
spread,"펼치다[펴다], 벌리다[펴다/뻗다]"
correct,"맞는, 적절한, 올바른"
negative,"부정적인, 아니라고 하는"
security,"보안, 경비 담당 부서"
treatment,"치료, 처치"
prepare,"준비하다[시키다], 대비[채비/각오]하다"
suddenly,"갑자기, 급작스럽게, 불현듯"
production,"생성[분비], 제작"
cancer,"암, 암"
release,"풀어 주다, 놓아 주다[날려 보내다/방출하다]"
degree,"도, 정도, 학위, 학부"
perfect,완벽한[완전한/온전한]
female,"여성[여자]인, 암컷의, 여성의"
interesting,"재미있는, 흥미로운"
football,"축구, 풋볼, 축구공, 논란거리"
review,"검토, 논평[비평], 보고서"
wish,"…이면 좋겠다, 원하다"
resource,"자원, 재료[자산], 지략"
option,"선택, 선택 과목, 선택권[옵션]"
topic,"화제, 주제"
trend,"동향, 추세"
prevent,막다[예방/방지하다]
spot,"점, 얼룩, 발진[뾰루지]"
style,"방식, 스타일, 유행, 우아함"
connection,"관련성[연관성], 연결"
marriage,"결혼 생활, 결혼식"
mental,"정신의, 정신적인"
access,"입장[접근], 접근권"
drug,"약물, 의약품"
method,"방법, 체계성"
belief,"신념, 생각, 믿는 사항[믿음]"
planet,"행성, 세상"
communication,"의사소통, 통신[소통]"
replace,"대신[대체]하다, 대신하다"
lack,"부족, 부족한[결핍된] 것"
bill,"고지서, 계산서, 법안"
president,"대통령, 회장, 회장[-장]"
powerful,"영향력 있는, 강력한, 강한"
wild,"야생의, 자연 그대로의, 제멋대로 구는"
researcher,"연구원, 조사원, 탐색자"
forward,"앞으로, 더 일찍[빨리]"
single,"단 하나의, 독신인, 1인용의"
partner,"동반자, 파트너, 동맹국"
past,"지나간, 지난, 이전의"
advantage,"유리한 점, 이점, 어드밴티지"
significant,중요한[의미 있는/커다란]
training,"교육, 훈련"
connect,"잇다, 연결[접속]하다"
reporter,"기자, 리포터"
policy,"정책, 방책, 보험 증권[증서]"
final,"마지막의, 최종적인, 변경할 수 없는"
survive,"살아남다, 견뎌 내다[넘기다]"
weight,"무게, 무게, 무거운 것"
account,"계좌, 장부, 신용 거래"
private,"사유의, 사적인[사사로운/비공개의]"
reflect,"비추다, 반사하다, 나타내다[반영하다]"
associate,"연상하다, 어울리다, 찬동[지지]을 표하다"
reaction,"반응, 반발, 반응 능력"
screen,"화면, 영화, 칸막이, 차폐물"
text,"본문, 글, 원고[원문]"
damage,"손상, 훼손, 손해 배상금"
thus,"이렇게 하여, 따라서, 이 정도로"
pain,"아픔, 고통, 아주 귀찮은 사람[것]"
useful,"유용한, 유능한"
reality,현실
feature,"특색, 이목구비, 특집"
nuclear,"원자력의, 핵, 핵의"
growth,"성장, 증가, 종양[혹]"
intelligence,"지능, 기밀"
onto,"…(위)로[에], …쪽으로"
series,"연속, 시리즈, 시리즈"
specific,"구체적인, 특정한, 특유의"
manager,경영자[운영자/관리자]
agency,"대리점, 대행사, 단체"
male,"남자[남성/수컷]의, 수-"
structure,"구조, 구조물, 체계"
guy,"남자, 가이, 당김줄[버팀줄]"
beginning,"초, 출발"
crowd,"사람들, 집단[사람들]"
crime,"범죄, 범행, 죄악"
apply,"신청하다, 쓰다, 바르다"
purpose,"목적, 하기 위함, 목적[목적의식]"
depend,"의지하다, 결정되다 , 매달리다"
professional,"직업[직종]의, 전문직에 종사하는"
employee,"종업원, 고용인"
scientific,"과학의, 과학적인"
seek,"찾다, 구하다, 청하다"
region,"지방, 부위[부분]"
less,더 적은[덜한] 것
argument,"논쟁, 논거, 논의"
threat,"협박, 위협, 위협적인 존재"
mistake,"실수, 실수[오류]"
being,"존재, 생명체, 온 마음"
dangerous,위험한
stress,"스트레스, 압박, 중점"
sex,"성, 남성[여성] , 성"
range,"다양성, 범위[폭], 세트"
obviously,"확실히, 분명히"
practise,"연습[실습]하다, 행하다"
interested,"관심[흥미] 있어 하는, 이해관계가 있는"
apparently,듣자[보아] 하니
responsibility,"책임, 책임, 책임[의무]"
network,"망, 망[관계/네트워크]"
wine,"포도주, 술, 포도주색"
lift,"승강기, 태워 주기[얻어 타기]"
fail,"실패하다,…하지 못하다"
meeting,"회의, 회의 참석자들, 만남"
device,"장치[기구], 폭발물, 방법"
environmental,환경의[환경과 관련된]
chain,"사슬, 일련, 체인, 속박"
feed,밥[우유]을 먹이다
gain,"하게[얻게] 되다, 얻다"
generally,대부분의 사람들이[에게]
strength,"힘, 내구력, 힘, -력"
race,"경주, 경쟁, 경마 대회"
clearly,"또렷하게, 분명히"
former,"예전[옛날]의, 과거[이전]의"
collect,"모으다, 수집하다, 모이다"
beat,"이기다, 통제[억제]하다"
left,"왼쪽의, 좌측의"
expensive,비싼
climate,"기후, 기후가 …한 지역"
above,"…보다 위에[위로], …보다 많은"
throughout,"도처에, …동안 쭉"
farmer,"농부, 농장주, 농장 관리인"
bar,"술집, 카운터, 전문점[바]"
limit,"한계, 제한, 경계"
complete,"가능한 최대의, 필요한 모든 것이 갖춰진"
effective,"효과적인, 실질적인, 시행[발효]되는"
advice,"조언, 충고"
fashion,"유행, 유행하는 방식"
ourselves,"우리들 자신들[에게]., 우리들"
publish,"출판[발행]하다, 게재하다[싣다]"
block,"사각형 덩어리, 건물"
version,"-판[형태], 설명[생각/견해]"
audience,"청중[관중], 시청자[독자/관람객]"
daily,매일 일어나는[행해지는/만들어지는]
extra,"추가의, 가외의"
judge,"판단하다[여기다], 추정[짐작]하다"
admit,"인정[시인]하다, 자백하다[인정하다]"
cultural,"문화와 관련된, 문화의"
collection,"수집품, 무리, 모음집"
living,"살아 있는, 현재 사용되는[행해지는]"
concept,개념
link,"관련, 관계, 연결"
pound,"파운드, 견인된 불법 주차 차량 보관소"
regular,"규칙적인, 잦은, , 보통의"
ancient,"고대의, 아주 오래된"
temperature,"온도, 체온"
emotional,"정서의, 감정을 자극하는"
somewhere,어딘가에[에서/에로]
distance,"거리, 거리, 먼 곳[지점]"
credit,"신용 거래, 융자, 신용도"
demand,"요구하다, 필요로 하다"
eight,"여덟, 에이트"
medicine,"의학, 약"
slowly,"느리게, 천천히, 서서히"
search,"찾기, 검색"
trouble,"애, 병, 문제[고장]"
victim,"피해자, 제물"
prefer,…을 좋아하다[원하다/택하다]
pattern,"양식, 모범, 무늬, 본"
supply,"공급[비축], 보급품[물자]"
eventually,"결국, 종내"
military,"군사의, 무력의"
element,"요소, 약간의 놀라움, 부류[파]"
aspect,"측면, 양상, 방향, 상"
politician,"정치인, 정치꾼"
explore,"답사[탐사/탐험]하다, 탐구[분석]하다"
tradition,전통
mark,"표시하다, 흔적[자국]을[이] 내다[나다]"
struggle,"투쟁[고투]하다, 힘겹게 나아가다[하다]"
emotion,"감정, 정서"
complex,복잡한
predict,예측[예견]하다
competition,"경쟁, 대회, 경쟁자"
promise,"약속, 가능성, 징조"
directly,"곧장, 바로 …에, 즉시"
trust,"신뢰, 신탁, 위탁 사업체"
context,맥락
percentage,"백분율, 수익의 일부"
online,온라인의
campaign,"캠페인, 군사 작전[행동]"
tip,"끝, 끝 부분, 정보"
secret,"비밀의, 남몰래 하는, 비밀스러운"
western,"서쪽에 위치한, 서양의"
tool,"연장, 도구[수단], 꼭두각시"
meal,"식사[끼니], 식사[밥]"
authority,"지휘권, 권한, 재가, 당국"
gun,"총, 총 모양의 기구, 출발 신호"
speech,"연설, 언어 능력, 말투[화법]"
balance,"균형[평형] , 균형, 잔고"
photo,사진
meaning,"뜻[의미], 의미[중요성]"
earn,"(돈을) 벌다, 올리다[받다], 얻다[받다]"
variety,"여러 가지, 다양성, 품종[종류]"
occur,"일어나다, 존재하다[발견되다]"
definitely,"분명히[틀림없이], 확실히"
owner,"주인, 소유주"
identity,"신원, 독자성, 유사성"
unusual,"특이한, 색다른"
freedom,"자유, ~을 마음대로 써도 된다는 허락"
united,"연합한, 단결한"
sexual,"성적인, 생식의, 성과 관계되는"
funny,"우스운, 기이한, 수상쩍은"
ocean,"대양, …양"
nine,"아홉, 구, 9"
assume,"추정[상정]하다, 맡다"
unit,"구성 단위, , 부대[단체]"
promote,"촉진[고취]하다, 홍보하다"
respond,"대답[응답]하다, 반응을 보이다"
responsible,책임지고[책임 맡고] 있는
extremely,"극도로, 극히"
data,"자료[정보/데이터], 자료[데이터/정보]"
smart,"맵시 좋은, 깔끔한, 똑똑한"
wave,"파도, 파도, 물결, 흔들기"
mix,"섞이다, 만들다, 함께 어울릴 수 있는 것이 아니다"
basically,"근본적으로, 기본적으로[무엇보다도]"
trial,"재판, 시험[실험], 대표 선수 선발 대회"
strategy,"계획[전략], 계획[전략] 수립[집행]"
potential,"가능성이 있는, 잠재적인"
tough,"힘든, 엄한, 강인한"
comfortable,"편, 편안한, 수월하게[편하게] 생각하는"
track,"길, 발자국, 선로"
loss,"분실, 손실액, 죽음[사망]"
carefully,"주의하여, 조심스럽게, 신중히"
weekend,"주말, 주말 휴가"
organization,"조직, 준비, 구조, 조직적임"
possibility,"가능성, 가능한 일, 기회[가능성]"
worth,…의 가치가 있는[되는]
statement,"성명, 성명서, 입출금 내역서"
birth,"낳다, 해산을 돕다, 시작하다"
direction,"방향[쪽], 방향[동향]"
safety,"안전, 안전성, 안전한 곳"
experiment,"실험, 실험[시험]"
wonderful,"아주 멋진, 경이로운"
income,"소득, 수입"
religious,"종교의, 독실한"
technique,"기법, 기술"
husband,남편
historical,"역사적, 역사학의, 역사와 관련된"
therefore,"그러므로, 그러니"
phrase,"구, 구절, 악구"
battle,"전투, 투쟁[다툼], 싸움[투쟁]"
software,소프트웨어
towards,"쪽으로, 향하여, 무렵에[경에]"
combine,"결합하다[되다], 갖추다[겸(비)하다]"
violence,"폭행, 격렬함"
beyond,"…저편에[너머], 지나[이후]"
vehicle,"차량, 수단[매개체]"
studio,"스튜디오, 영화사, 작업실"
muscle,"근육, 힘, 압력"
aware,알고[의식/자각하고] 있는
consequence,"결과, 중요함, 귀결"
conduct,"하다, 지휘하다, 안내하다"
contact,"연락[접촉], 닿음, 접함"
bottom,"맨 아래 , 뒷면, 바닥"
metal,금속
actor,배우
tiny,아주 작은[적은]
suppose,"생각하다, 가정[상정]하다"
quarter,"4분의 1, 15분, 사분기"
native,"태어난 곳의, 토박이의[오래 산]"
actual,"실제의, 사실상의"
function,"기능, 행사, 함수"
active,"활동적인, 적극적인, 활발한"
central,"중심되는, 중앙의, 중심[중앙]인"
soldier,"군인, 병사"
diet,"식사[음식], 규정식"
creative,"창조적인, 창의[창조]력이 있는"
attract,"마음을 끌다, 끌어들이다[끌어 모으다]"
foreign,"외국의, 대외의, 이질적인"
belong,제자리[알맞은 위치]에 있다
staff,"직원, 사무직원, 참모"
crisis,"위기, 최악의 고비"
flight,"여행, 항공편[항공기]"
recognize,"알아보다[알다], 인정[인식]하다"
digital,"디지털, 손가락의., 손가락 모양의."
status,"신분[자격], 지위, 높은 지위"
entire,"전체의, 온"
pleasure,"기쁨, 재미로[좋아서] 하는 활동"
desire,"욕구, 욕정, 바라는[희망하는] 사람[것]"
title,"제목, 서적, 칭호, 직함"
therapy,"치료, 요법"
deliver,"배달하다, 하다, 지키다"
familiar,"익숙한, ~을 아주 잘 아는"
solve,"해결[타결]하다, 풀다[해결하다]"
difficulty,"어려움, 어려움, 어려운 정도"
stock,"재고품[재고], 비축물"
agent,"대리인, 에이전트, 중요한 작용을 하는 사람[것]"
various,"여러 가지의, 다양한 특징을 지닌"
target,"목표, 표적[목표물], 과녁"
spirit,"정신, 기분, 사람, 기백"
estimate,추산[추정]하다
moral,"도덕과 관련된, 도의상의"
magazine,"잡지, 프로그램[매거진]"
opposite,다른 편[쪽]의[건너편의]
following,"그 다음의, 다음에[아래] 나오는[언급되는]"
obvious,"분명한[명백한], 확실한[분명한]"
upon,"위에, ~을 넘어서"
clothes,"옷, 의복"
alcohol,"술, 알코올"
direct,"직접적인, 직행[직통]의"
lay,"놓다[두다], 놓다[깔다/설치하다]"
background,"배경, 뒤, 배경[바탕]"
guide,"안내, 관광 안내 책자"
colleague,동료
commercial,"상업의, 이윤을 낳는[목적으로 한]"
terrible,"끔찍한, 심한, 기분[몸]이 안 좋은"
slightly,"약간, 자그마한"
personality,"성격, 개성, 유명인, 개성이 강한 사람"
importance,중요성
impossible,"불가능한, 대단히 곤란한"
suit,"정장, …옷[복] , 한 세트"
zone,"지역, 구역, 부분"
realize,"깨닫다, 실현[달성]하다"
found,"설립하다, 세우다[만들다]"
court,"법정, 법정에 있는 사람들"
observe,"…을 보다[, 관찰[관측/주시]하다"
match,"경기, 맞수[호적수], 아주 잘 어울리는 사람[것]"
guest,"손님, 게스트, 초대받은 사람"
define,"정의하다, 규정하다, 윤곽[모양/경계]을 분명히 나타?"
currently,"현재,지금"
seriously,"심각하게, 진심으로, 정말"
nobody,아무도 …않다
thanks,감사
literature,"문학, 문헌[인쇄물]"
respect,"존경, 존중, 면"
officer,"장교, 경찰관"
traffic,"차량들, 운항[운행]"
northern,북쪽[북부]에 위치한
cycle,"자전거, 순환, 회전[사이클]"
code,"암호, 코드, 관례[규칙]"
aim,"목적, 겨냥"
recommend,"추천[천거]하다, 권고[권장]하다[권하다]"
highly,"크게, 높이[많이], 높이 평가하여"
reader,"읽는 사람, 구독자[독자]"
appearance,"모습, 나타남[도착함]"
weapon,무기
rely,"의지하다, 신뢰하다, 믿다"
investigate,"수사[조사]하다, 조사하다"
breathe,"호흡하다, 냄새를 풍기다[연기를 내뱉다]"
driver,"운전자, 드라이버, 추진 요인"
teenager,십대
increasingly,"점점 더, 갈수록 더"
sight,"시력, 보기, 눈, 광경[모습]"
bank,"은행, 판돈[물주], 많이 모인 것"
doubt,"의심, 의혹, 의문"
creature,"생명이 있는 존재, 사람"
fund,"기금[자금], 돈[자금]"
characteristic,특유의
bike,"자전거, 오토바이"
performance,"공연, 연기[연주], 실적"
height,"높이, 높음, 높은 곳[위치]"
combination,"조합[결합], 조합[연합]"
alive,"살아 있는, 넘치는, 존속하는"
core,"속[심], 중심부, 핵심"
necessary,"필요한, 필연적인"
legal,"법률과 관련된, 법이 허용하는[요구하는]"
indicate,"나타내다[보여 주다], 내비치다[시사하다]"
honest,"정직한, 솔직한, 순수[정직]해 보이는"
citizen,"시민, 주민"
shock,"충격, 쇼크, 감전, 부스스한 머리털"
typical,"전형적인, 보통의, 늘 하는 식[행동]의"
soil,"토양, 국가"
enter,"들어가다[오다], 들어가다"
attempt,"시도, 살해기도, 시도[도전]"
afford,"여유[형편]가 되다, …하면 안 되다"
unfortunately,"불행하게도, 유감스럽게도"
beauty,"아름다움, 미인, 멋진 사례[보기]"
comment,"논평, 지적[비판], 설명"
generate,"발생시키다, 낳다"
disappear,"사라지다, 사라지다[없어지다]"
maintain,"유지하다[지키다], 주장하다"
lawyer,변호사
possibly,"아마, 가능한 대로, 도저히"
ahead,"앞으로, 미리, 앞선"
ignore,"무시하다, 못 본 척하다"
anybody,"누구든지 , 아무도, 누군가"
everywhere,"어디든지, 어디에 …이라도."
progress,"진전, 감[나아감]"
thinking,생각[사고]
habit,"버릇, 습관, 습관성 중독[습성]"
complain,불평[항의]하다
celebrate,"기념하다, 올리다, 찬양하다"
press,"신문, 언론인들[기자들]"
conflict,"갈등[충돌], 물리적 충돌"
convince,"납득시키다, 설득하다"
sale,"판매, 매출, 영업, 세일"
atmosphere,"대기, 공기, 분위기"
criminal,"범죄의, 형사상의, 죄악이 되는"
substance,"물질, 실체, 본질, 중요성"
shift,"옮기다, 잽싸게 움직이다"
writing,"쓰기, 글쓰기, 글[저작물/저술물]"
due,"~로 인한[~에 의한], ~하기로 되어 있는[예정된]"
museum,"박물관, 미술관"
tour,"여행, 관광[방문], 순회"
separate,"분리된, 서로 다른"
intend,"의도[작정]하다, 의미[뜻]하다"
destroy,"파괴하다, 죽이다[살처분하다]"
plenty,풍부[충분]한 양
minister,"장관[각료], 성직자"
mass,"덩어리[덩이], 많은 ~"
prime,"주된, 최고[최상등급]의"
confidence,"신뢰, 자신, 확신, 신뢰[믿음]"
article,"글, 조항, 물품[물건]"
refuse,"거절[거부]하다, 거절하다"
bone,"뼈, 뼈로 만든 것"
announce,"발표하다, 방송으로 알리다"
murder,"살인, 죽을 지경인 것"
ring,"반지, 고리, 원, 링, 열판"
breath,"입김[숨], 숨, 조금"
root,"뿌리, 근원[핵심], 기원"
practical,"현실적인 타당한, 실용적인"
launch,"시작[개시/착수]하다, 출시[출간]하다"
equal,"동일한[같은], 동등한"
necessarily,"어쩔 수 없이, 필연적으로"
property,"재산, 부동산, 건물, 속성[특성]"
determine,"알아내다, 결정하다, 확정[결정]하다"
escape,"달아나다, 벗어나다[빠져 나오다]"
discovery,"발견, 발견된 것[사람]"
forest,"숲,삼림"
fuel,"연료, 부채질하는 것"
recipe,"조리[요리]법, 방안[비결]"
unique,"유일무이한, 특별한, 고유의"
instruction,"설명, 지시, 명령, 가르침"
lower,"더 낮은[아래] 쪽의, 아래쪽의"
document,"서류, 문서"
length,"길이, 시간[기간], 길이"
unlike,"…와 다른, …와는 달리"
coach,"코치하다, 과외, 지시하다"
immediately,"즉시, 바로 옆에[가까이에]"
host,"주인, 주최국[측], 진행자"
joke,"우스개, 웃기는 사람[것]"
chocolate,"초콜릿, 초콜릿 과자, 초콜릿 색"
chemical,"화학의, 화학적인"
edge,"끝, 날, 위기, 우위[유리함]"
fully,"완전히, 무려"
previous,"이전[전]의, 바로 앞의"
steal,"훔치다, 살며시 움직이다"
invest,"투자하다, 투자[출자]하다"
household,가정
religion,"종교, 종교와도 같은 것"
Senior,고위[고급/상급/상위]의
academic,"학업의, 학리적인, 학구적인"
urban,"도시의, 도회지의"
illness,"병, 병[질환]"
commit,"저지르다[범하다], 자살하다"
mostly,"주로, 일반적으로"
emergency,비상
instrument,"기구, 악기, 계기, ~의 수단[매개체]"
critical,"비판적인, 대단히 중요한[중대한]"
investment,"투자, 투자액, 물품[상품]"
ordinary,"보통의, 평범한"
proposal,"제안, 청혼"
boss,"상관, -장, 돌기"
ingredient,"재료[성분], 구성 요소"
relax,휴식을 취하다[느긋이 쉬다]
speaker,"연사, 말[이야기]하는 사람"
producer,"생산자, 제작자, 제작자[사]"
crop,"작물, 수확량, 무리[집단]"
journalist,"저널리스트, 기자"
engage,"사로잡다[끌다], 고용하다"
select,선발[선정/선택]하다
careful,"조심하는, 세심한"
objective,"목적, 대물렌즈"
kiss,"키스, 입맞춤, 뽀뽀"
hire,"빌리다[세내다], 고용하다"
stretch,"늘이다, 늘어나다, 펴다[당기다]"
brand,"상표, 종류[유형], 낙인"
reading,"독서, 읽기, 읽을거리, 이해[해석]"
silence,"고요, 침묵, 무소식"
electricity,"전기, 강렬한 감정[흥분]"
flow,"흐르다, 계속 흘러가다[이동하다]"
sentence,"문장, 형벌"
approximately,"거의 , …가까이"
chip,"이가 빠진 흔적, 조각"
equipment,"장비, 장비 설치"
expose,"드러내다, 폭로하다, 노출시키다"
army,"군대, 육군, 부대[집단]"
disaster,"참사, 엄청난 불행, 완전한 실패자[작]"
appeal,"항소, 매력, 호소"
failure,"실패, 실패자, ~하지 않음"
tourist,"관광객, 외국 원정 경기 중인 스포츠 팀의 선수"
payment,"지불, 지불금, 보답"
classic,"일류의, 전형적인, 고전적인"
adventure,"모험, 모험심"
signal,신호
massive,"거대한, 엄청나게 큰[심각한]"
closely,"가까이, 꼭, 면밀히, 검소하게"
accident,"사고[재해], 우연"
planning,"계획 , 입안"
unable,…할 수 없는
virus,"바이러스, 바이러스성 질환"
apart,"떨어져, 따로, 조각조각"
surround,"둘러싸다, 포위하다, 둘러싸다"
mood,"기분, 기분이 안 좋은 때"
scale,"눈금, 비례, 저울 접시"
crazy,"정상이 아닌, 미친 듯이 화가 난"
plate,"접시, 한 접시, 요리"
visitor,"방문객, 손님"
origin,"기원, 출신[혈통/태생]"
attractive,"멋진, 마음을 끄는"
gather,"모이다[모으다], 모으다[챙기다]"
totally,"완전히, 전적으로"
tale,이야기
layer,"막[층/겹/켜], 층[단계]"
whereas,"임에 비하여, …한 사실이 있으므로"
finding,"결과[결론], 판결[평결]"
electronic,"전자의, 전자 장비와 관련된"
blame,…을 탓하다
musical,"음악의, 음악에 재능[관심]이 있는"
engineer,"기사, 기술자, 기관사"
threaten,"협박[위협]하다, 조짐을 보이다"
basis,"근거, 기준 , 기반"
anywhere,"어디에, 어디든"
childhood,"어린 시절, 초기 단계"
contribute,"기부[기증]하다, 한 원인이 되다"
circumstance,"환경, 환경[상황]"
label,"표[라벨/상표], 딱지[꼬리표]"
typically,"보통, 전형적으로, 늘 하는 식으로"
profit,"이익, 이득"
perspective,"관점, 균형감, 원근법"
communicate,"연락을 주고받다, 전하다[알리다]"
nervous,불안해[초조해/두려워] 하는
