word,meaning
initial,"""처음의"""
declare,"""선언하다"""
ladder,"""사다리"""
jaw,"""턱"""
affection,"""애정"""
publisher,"""출판사"""
expand,"""확장시키다"""
religious,"""종교의"""
pale,"""창백한"""
inquiry,"""질문"""
diabetes,"""당뇨병"""
prevent,"""예방하다, 막다"""
disease,"""질병"""
limit,"""제한하다"""
equally,"""공평하게, 똑같이"""
active,"""활동적인"""
take medicine,"""약을 먹다"""
at least,"""적어도"""
bring along,"""~을 가지고 오다"""
affect,"""영향을 미치다"""
marvelous,"""멋진"""
elegant,"""우아한"""
label,"""이름표"""
pity,"""안타까움"""
merit,"""훌륭함, 가치"""
chest,"""가슴, 흉부"""
excessive,"""지나친, 과도한"""
category,"""카테고리, 범주"""
translation,"""번역"""
random,"""무작위의"""
watch,"""보다"""
wear,"""입다"""
clarinet,"""클라리넷"""
saxophone,"""색소폰"""
marching band,"""행진 악대"""
acoustic guitar,"""통기타"""
orchestra,"""관현악단"""
strings,"""현악기"""
woodwind,"""목관악기의"""
percussion,"""타악기"""
shadow,"""그림자"""
costume,"""복장, 옷차림"""
ridiculous,"""우스꽝스러운"""
magpie,"""까치"""
compound,"""혼합물"""
export,"""수출품"""
construction,"""공사, 건설"""
fantasy,"""상상, 공상"""
faint,"""어렴풋한"""
defend,"""방어하다"""
ballet,"""발레"""
ballroom dance,"""사교 댄스"""
modern dance,"""현대 무용"""
tap dance,"""탭 댄스"""
folk dance,"""포크 댄스"""
hip-hop,"""힙합"""
leotard,"""리어타드 (몸에 꽉 끼는 옷)"""
stage,"""무대"""
clap,"""박수를 치다"""
perform,"""공연하다"""
impact,"""영향"""
torch,"""횃불"""
dead,"""죽은"""
density,"""밀도"""
trousers,"""바지"""
installation,"""설치"""
insurance,"""보험"""
comment,"""논평"""
disadvantage,"""단점"""
massive,"""엄청나게 큰"""
sphere,"""구체, 전체"""
abstract,"""추상적인"""
shape,"""모양"""
neutral,"""중간색의"""
glue,"""붙이다"""
artwork,"""예술 작품"""
instead,"""대신에"""
be called,"""~라고 불리우다"""
a new way of,"""~의 새로운 방법"""
all through one's life,"""일생 동안"""
festival,"""축제"""
dynamic,"""활발한"""
tension,"""긴장, 불안"""
negative,"""부정적인"""
female,"""암컷의, 여성의"""
objective,"""객관적인"""
maximum,"""최대"""
attendance,"""출석"""
knock,"""노크하다"""
spare,"""여분의"""
dairy product,"""유제품"""
fruit,"""과일"""
wheat bread,"""밀빵"""
vegetable,"""채소"""
fast food,"""패스트푸드"""
junk food,"""정크푸드 (건강에 좋지 않은 음식)"""
soda,"""탄산음료"""
sweet,"""단 것"""
work out,"""운동하다"""
take vitamins,"""비타민을 먹다"""
branch,"""나뭇가지"""
guess,"""알아맞히다"""
clever,"""영리한"""
valley,"""계곡, 골짜기"""
snail,"""달팽이"""
fade,"""바래다, 희미해지다"""
unnecessary,"""불필요한"""
raw,"""날것의"""
harsh,"""가혹한, 냉혹한"""
mystery,"""미스터리, 신비"""
section,"""구획, 부분"""
apply,"""바르다"""
stick,"""나뭇가지"""
stiff,"""딱딱한"""
board,"""타다"""
vision,"""환상"""
get off,"""내리다"""
be going to,"""~을 할 것이다"""
have to,"""~을 해야 한다"""
It's hard to,"""~하기가 어렵다"""
gesture,"""몸짓"""
strict,"""엄격한"""
grin,"""활짝 웃음"""
glide,"""활공하다"""
glance,"""흘깃 보다"""
sticky,"""끈적거리는"""
mean,"""비열한"""
lick,"""핥다"""
sniff,"""냄새를 맡다"""
lung,"""폐"""
sleep well,"""(잠을) 잘 자다"""
visit the doctor,"""진찰을 받다"""
stomach,"""배, 위"""
skinny,"""마른"""
instant noodle,"""라면"""
diet,"""다이어트, 규정식"""
nutritious,"""영양가 있는"""
prepare,"""준비하다"""
grill,"""굽다"""
avoid,"""피하다"""
touch,"""만지다"""
cost,"""비용이 들다"""
various,"""다양한"""
bark,"""(개가) 짖다"""
exceed,"""초과하다"""
scream,"""비명을 지르다"""
filter,"""거르다"""
process,"""가공하다"""
guard,"""경호원"""
explain,"""설명하다"""
dentist,"""치과의사"""
advise,"""충고하다"""
floss,"""치실질을 하다"""
nurse,"""간호사"""
mechanical,"""기계의"""
praise,"""칭찬하다"""
go to the dentist,"""치과에 가다"""
times a day,"""하루에 몇 번"""
cut down on,"""~을 줄이다"""
take good care of,"""~을 잘 돌보다"""
pray,"""기도하다"""
fold,"""접다"""
oxygen,"""산소"""
equipment,"""장비"""
softly,"""부드럽게"""
survey,"""설문 조사"""
weed,"""잡초"""
outcome,"""결과"""
risk,"""위험"""
guarantee,"""보증하다"""
conserve,"""아껴 쓰다, 보존하다"""
collect,"""모으다, 수집하다"""
shelter,"""대피소, 피신처"""
rooftop,"""(건물의) 옥상"""
smash,"""때려 부수다"""
earthquake,"""지진"""
hide,"""숨다"""
wave,"""파도"""
tropical storm,"""열대 폭풍우"""
drown,"""익사하다"""
leather,"""가죽"""
wheel,"""바퀴"""
spin,"""회전하다, 돌다"""
primary,"""주된, 주요한"""
cheerful,"""명랑한"""
casual,"""평상시의"""
panic,"""공포에 질리다"""
nest,"""둥지"""
resemble,"""닮다"""
sigh,"""한숨 쉬다"""
disaster,"""재난, 재해"""
tanker,"""유조선"""
oil,"""기름"""
leak,"""(액체, 기체 등이) 새다"""
heartbreaking,"""가슴이 아픈"""
survive,"""살아남다"""
millions of,"""수백만의"""
be covered in,"""~으로 덮여 있다"""
right away,"""바로"""
clean up the mess,"""어질러진 것을 치우다"""
residence,"""거주"""
envelope,"""봉투"""
straight,"""곧장, 곧바로"""
bury,"""묻다"""
thick,"""두꺼운"""
record,"""녹화하다"""
novel,"""소설"""
accidentally,"""우연히"""
charger,"""충전기"""
apologize,"""사과하다"""
island,"""섬"""
snorkel,"""스노클 잠수를 하다"""
reef,"""암초"""
level,"""(지면, 수면의) 높이"""
electricity,"""전기"""
reduce,"""줄이다, 감소하다"""
most of the year,"""일 년의 대부분"""
even though,"""비록 ~일지라도"""
as a result,"""결과적으로"""
small steps,"""작은 단계"""
stumble,"""발을 헛디디다"""
seagull,"""갈매기"""
height,"""키, 높이"""
vertical,"""세로의"""
copper,"""구리"""
collector,"""수집가"""
wonder,"""궁금하다"""
pick up,"""~을 집다"""
nasty,"""불쾌한"""
porch,"""현관"""
air,"""공기"""
garbage,"""쓰레기"""
land,"""육지"""
forest,"""숲, 산림"""
noise,"""소음"""
smog,"""스모그"""
acid rain,"""산성비"""
wildlife,"""야생 동물"""
litter,"""(쓰레기 등을) 버리다"""
recycle,"""재활용하다"""
secret,"""비밀"""
curl,"""둥그렇게 감다"""
regional,"""지역의, 지방의"""
peer,"""또래 친구"""
produce,"""생산하다"""
by oneself,"""혼자서"""
normal,"""정상적인"""
proudly,"""자랑스럽게"""
view,"""경치, 시야"""
outdoor,"""야외의"""
ingredient,"""(요리의) 재료"""
heat,"""뜨겁게 하다"""
liquid,"""액체"""
pour,"""따르다"""
individually,"""각각 따로"""
wrap,"""포장하다"""
turn into,"""~로 변하다"""
no wonder,"""~은 당연하다"""
wax,"""초, 밀랍"""
mixture,"""혼합물"""
laboratory,"""연구실"""
nod,"""끄덕이다"""
repair,"""고치다, 수리하다"""
instinct,"""본능"""
crew,"""승무원"""
heal,"""낫다, 치유되다"""
serve,"""제공하다"""
average,"""평균의"""
indoor,"""실내의"""
extra,"""여분의"""
project,"""프로젝트, 과제"""
solar,"""태양열을 이용한"""
ray,"""광선"""
stuff,"""물건"""
absorb,"""흡수하다"""
escape,"""새어 나오다"""
win first prize,"""일등을 하다"""
cut apart,"""쪼개다"""
tape together,"""테이프로 붙이다"""
on the bottom,"""바닥에"""
fetch,"""가지고 오다"""
sink,"""가라앉다"""
argument,"""말다툼, 언쟁"""
decorate,"""장식하다"""
splash,"""(물 등이) 튀기다"""
tourist,"""관광객"""
labor,"""노동"""
bride,"""신부"""
mention,"""말하다, 언급하다"""
cling,"""꼭 붙잡다"""
fair,"""전시회"""
extremely,"""극도로"""
surf the Internet,"""인터넷 서핑을 하다"""
social media,"""소셜 미디어"""
smartphone,"""스마트폰"""
desktop computer,"""탁상용 컴퓨터"""
download,"""(데이터를) 내려받다"""
calculator,"""계산기"""
organizer,"""수첩"""
recharge,"""재충전하다"""
nightmare,"""악몽"""
silent,"""조용한"""
vehicle,"""차량"""
damp,"""습한, 축축한"""
detect,"""발견하다"""
insert,"""넣다, 삽입하다"""
squeeze,"""(액체를) 짜내다"""
gender,"""성별"""
delicate,"""깨지기 쉬운, 연약한"""
regret,"""후회하다"""
fire extinguisher,"""소화기"""
experiment,"""실험"""
solid,"""고체"""
gas,"""기체, 가스"""
container,"""용기, 그릇"""
flame,"""불꽃"""
melt,"""녹다"""
steam,"""수증기"""
boil,"""끓이다"""
freeze,"""얼다"""
outline,"""개요"""
sparrow,"""참새"""
mistake,"""실수"""
lovely,"""사랑스러운"""
genetic,"""유전학의"""
boost,"""북돋우다"""
throughout,"""도처에"""
hatch,"""부화하다"""
chestnut,"""밤"""
squirrel,"""다람쥐"""
